No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,677,n.d.,20742,3263.91,n.d.
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,1356,n.d.,34840,3892.08,n.d.
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,389,0,19055.5,2041.41,0.00
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,212,0,8507,2492.07,0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,829,6,57728,1436.04,10.38
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,180,0,17948.5,1002.87,0.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,255,n.d.,20658.5,1234.36,n.d.
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,87,n.d.,17455,498.42,n.d.
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),3986,11,196934.5,2024.02,5.59
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,779,0,31025,2510.88,0.00
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1012,5,25019.5,4044.85,20.02
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2822,n.d.,52281,5397.75,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2453,9,67384,3640.33,13.36
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,3163,n.d.,79237.5,3991.80,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,817,0,22558,3621.77,0.00
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),11060,19,277505,3985.51,6.85
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,2101,0,55121,3811.61,0.00
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,14622,55,321832.5,4543.36,17.05
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,15353,26,352784,4351.95,7.34
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,669,19,28065.5,2383.71,67.83
03,03 - Capitale-Nationale,,Total (incluant inconnus),33014,101,757803,4356.54,13.29
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,440,10,15002,2932.94,66.74
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,516,6,25591.5,2016.29,23.42
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,664,n.d.,22969.5,2890.79,n.d.
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1617,31,64680,2500.00,47.90
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,4168,144,143710,2900.29,100.00
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,990,12,44674,2216.05,26.83
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,4137,5,108252,3821.64,4.60
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,2990,5,98452.5,3037.00,5.07
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),15608,216,523331.5,2982.43,41.20
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,1225,5,56363,2173.41,8.83
