Date;Nouveaux cas;Cumulatif de cas;;
2020-02-25;1;1;;
2020-02-26;0;1;;
2020-02-27;0;1;;
2020-02-28;0;1;;
2020-02-29;0;1;;
2020-03-01;1;2;;
2020-03-02;2;4;;
2020-03-03;0;4;;
2020-03-04;0;4;;
2020-03-05;0;4;;
2020-03-06;0;4;;
2020-03-07;0;4;;
2020-03-08;1;5;;
2020-03-09;1;6;;
2020-03-10;2;8;;
2020-03-11;3;11;;
2020-03-12;3;14;;
2020-03-13;2;16;;
2020-03-14;5;21;;
2020-03-15;6;27;;
2020-03-16;5;32;;
2020-03-17;7;39;;
2020-03-18;6;45;;
2020-03-19;35;80;;
2020-03-20;49;129;;
2020-03-21;91;220;;
2020-03-22;88;308;;
2020-03-23;132;440;;
2020-03-24;145;585;;
2020-03-25;184;769;;
2020-03-26;178;947;;
2020-03-27;239;1186;;
2020-03-28;198;1384;;
2020-03-29;258;1642;;
2020-03-30;264;1906;;
2020-03-31;329;2235;;
2020-04-01;303;2538;;
2020-04-02;407;2945;;
2020-04-03;346;3291;;
2020-04-04;340;3631;;
2020-04-05;258;3889;;
2020-04-06;455;4344;;
2020-04-07;421;4765;;
2020-04-08;372;5137;;
2020-04-09;349;5486;;
2020-04-10;305;5791;;
2020-04-11;262;6053;;
2020-04-12;327;6380;;
2020-04-13;542;6922;;
2020-04-14;468;7390;;
2020-04-15;610;8000;;
2020-04-16;496;8496;;
2020-04-17;568;9064;;
2020-04-18;330;9394;;
2020-04-19;428;9822;;
2020-04-20;480;10302;;
2020-04-21;455;10757;;
2020-04-22;530;11287;;
2020-04-23;524;11811;;
2020-04-24;491;12302;;
2020-04-25;312;12614;;
2020-04-26;282;12896;;
2020-04-27;461;13357;;
2020-04-28;471;13828;;
2020-04-29;517;14345;;
2020-04-30;587;14932;;
2020-05-01;613;15545;;
2020-05-02;526;16071;;
2020-05-03;343;16414;;
2020-05-04;419;16833;;
2020-05-05;467;17300;;
2020-05-06;566;17866;;
2020-05-07;428;18294;;
2020-05-08;427;18721;;
2020-05-09;310;19031;;
2020-05-10;297;19328;;
2020-05-11;361;19689;;
2020-05-12;427;20116;;
2020-05-13;398;20514;;
2020-05-14;352;20866;;
2020-05-15;341;21207;;
2020-05-16;271;21478;;
2020-05-17;340;21818;;
2020-05-18;331;22149;;
2020-05-19;318;22467;;
2020-05-20;405;22872;;
2020-05-21;376;23248;;
2020-05-22;255;23503;;
2020-05-23;217;23720;;
2020-05-24;216;23936;;
2020-05-25;204;24140;;
2020-05-26;237;24377;;
2020-05-27;252;24629;;
2020-05-28;193;24822;;
2020-05-29;192;25014;;
2020-05-30;204;25218;;
2020-05-31;140;25358;;
2020-06-01;156;25514;;
2020-06-02;98;25612;;
2020-06-03;115;25727;;
2020-06-04;126;25853;;
2020-06-05;109;25962;;
2020-06-06;105;26067;;
2020-06-07;75;26142;;
2020-06-08;51;26193;;
2020-06-09;79;26272;;
2020-06-10;67;26339;;
2020-06-11;66;26405;;
2020-06-12;71;26476;;
2020-06-13;64;26540;;
2020-06-14;28;26568;;
2020-06-15;57;26625;;
2020-06-16;74;26699;;
2020-06-17;53;26752;;
2020-06-18;48;26800;;
2020-06-19;64;26864;;
2020-06-20;33;26897;;
2020-06-21;27;26924;;
2020-06-22;40;26964;;
2020-06-23;40;27004;;
2020-06-24;28;27032;;
2020-06-25;46;27078;;
2020-06-26;42;27120;;
2020-06-27;30;27150;;
2020-06-28;18;27168;;
2020-06-29;16;27184;;
2020-06-30;40;27224;;
2020-07-01;24;27248;;
2020-07-02;16;27264;;
2020-07-03;17;27281;;
2020-07-04;16;27297;;
2020-07-05;7;27304;;
2020-07-06;15;27319;;
2020-07-07;21;27340;;
2020-07-08;33;27373;;
2020-07-09;51;27424;;
2020-07-10;48;27472;;
2020-07-11;22;27494;;
2020-07-12;13;27507;;
2020-07-13;75;27582;;
2020-07-14;64;27646;;
2020-07-15;69;27715;;
2020-07-16;66;27781;;
2020-07-17;100;27881;;
2020-07-18;97;27978;;
2020-07-19;55;28033;;
2020-07-20;37;28070;;
2020-07-21;61;28131;;
2020-07-22;78;28209;;
2020-07-23;94;28303;;
2020-07-24;69;28372;;
2020-07-25;34;28406;;
2020-07-26;52;28458;;
2020-07-27;33;28491;;
2020-07-28;36;28527;;
2020-07-29;68;28595;;
2020-07-30;59;28654;;
2020-07-31;56;28710;;
2020-08-01;49;28759;;
2020-08-02;30;28789;;
2020-08-03;45;28834;;
2020-08-04;65;28899;;
2020-08-05;45;28944;;
2020-08-06;21;28965;;
2020-08-07;45;29010;;
2020-08-08;35;29045;;
2020-08-09;37;29082;;
2020-08-10;34;29116;;
2020-08-11;36;29152;;
2020-08-12;35;29187;;
2020-08-13;38;29225;;
2020-08-14;29;29254;;
2020-08-15;14;29268;;
2020-08-16;12;29280;;
2020-08-17;17;29297;;
2020-08-18;17;29314;;
2020-08-19;22;29336;;
2020-08-20;34;29370;;
2020-08-21;33;29403;;
2020-08-22;19;29422;;
2020-08-23;21;29443;;
2020-08-24;9;29452;;
2020-08-25;29;29481;;
2020-08-26;41;29522;;
2020-08-27;43;29565;;
2020-08-28;25;29590;;
2020-08-29;54;29644;;
2020-08-30;14;29658;;
2020-08-31;32;29690;;
2020-09-01;36;29726;;
2020-09-02;35;29761;;
2020-09-03;72;29833;;
2020-09-04;49;29882;;
2020-09-05;63;29945;;
2020-09-06;57;30002;;
2020-09-07;50;30052;;
2020-09-08;71;30123;;
2020-09-09;69;30192;;
2020-09-10;90;30282;;
2020-09-11;108;30390;;
2020-09-12;71;30461;;
2020-09-13;97;30558;;
2020-09-14;71;30629;;
2020-09-15;92;30721;;
2020-09-16;77;30798;;
2020-09-17;70;30868;;
2020-09-18;197;31065;;
2020-09-19;141;31206;;
2020-09-20;200;31406;;
2020-09-21;137;31543;;
2020-09-22;168;31711;;
2020-09-23;253;31964;;
2020-09-24;231;32195;;
2020-09-25;286;32481;;
2020-09-26;350;32831;;
