No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,684,0,20742,3297.66,0.00
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,1360,0,34840,3903.56,0.00
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,400,n.d.,19055.5,2099.13,n.d.
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,219,0,8507,2574.35,0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,842,n.d.,57728,1458.56,n.d.
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,188,0,17948.5,1047.44,0.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,258,0,20658.5,1248.88,0.00
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,103,5,17455,590.09,28.74
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),4056,7,196934.5,2059.57,3.56
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,783,n.d.,31025,2523.77,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,1045,17,25019.5,4176.74,68.07
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2843,n.d.,52281,5437.92,n.d.
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2481,9,67384,3681.88,13.36
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,3206,7,79237.5,4046.06,8.83
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,821,0,22558,3639.51,0.00
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),11197,35,277505,4034.88,12.62
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,2132,8,55121,3867.85,14.45
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,14950,55,321832.5,4645.27,17.05
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,15670,77,352784,4441.81,21.74
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,689,0,28065.5,2454.97,0.00
03,03 - Capitale-Nationale,,Total (incluant inconnus),33725,141,757803,4450.37,18.55
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,454,n.d.,15002,3026.26,n.d.
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,552,8,25591.5,2156.97,31.22
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,697,n.d.,22969.5,3034.46,n.d.
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1669,5,64680,2580.40,7.73
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,4461,39,143710,3104.17,27.08
