No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,10,20 780,"83,3"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,29,34 800,"83,3"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,7,19 117,"36,6"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,17,57 630,"29,5"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,72,197 074,"36,5"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,11,31 078,"35,4"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,14,25 064,"55,9"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,43,52 298,"82,2"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,66,67 417,"97,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,206,79 201,"260,1"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,372,277 632,"134,0"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,69,54 895,"125,7"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1002,321 016,"312,1"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,803,351 429,"228,5"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,14,28 119,"49,8"
3,03 - Capitale-Nationale,,Total,1978,755 459,"261,8"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,252,22 961,"1 097,5"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,357,64 641,"552,3"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,943,143 422,"657,5"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,58,44 619,"130,0"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,319,107 872,"295,7"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,42,98 244,"42,8"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2103,522 341,"402,6"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,161,56 125,"286,9"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,269,105 861,"254,1"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,106,52 514,"201,9"
5,05 - Estrie,0514,0514 - RLS de Coaticook,14,18 741,"74,7"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,355,170 075,"208,7"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,75,31 490,"238,2"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,55,22 749,"241,8"
5,05 - Estrie,0519,0519 - RLS du Granit,17,21 351,"79,6"
5,05 - Estrie,,Total,1111,493 163,"225,3"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1667,224 596,"742,2"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2197,149 522,"1 469,3"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1406,131 424,"1 069,8"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3005,245 703,"1 223,0"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2070,166 225,"1 245,3"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1743,161 317,"1 080,5"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1896,161 894,"1 171,1"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4308,172 517,"2 497,1"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1074,115 485,"930,0"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2473,139 162,"1 777,1"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3862,208 717,"1 850,4"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2737,189 095,"1 447,4"
6,06 - Montréal,,Total,29317,2 065 657,"1 419,3"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,6,20 552,"29,2"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,27,38 891,"69,4"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,620,264 517,"234,4"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,63,56 920,"110,7"
7,07 - Outaouais,,Total,722,401 032,"180,0"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,12,20 528,"58,5"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,131,43 180,"303,4"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,181,147 616,"122,6"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,47,27 344,"171,9"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,7,6 428,"108,9"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,125,90 033,"138,8"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,9,13 558,"66,4"
10,10 - Nord-du-Québec,,Total,9,13 558,"66,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,140,32 176,"435,1"
