Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,13813,994,0,0,75,3,97,1,0,176,12560,12089,1253,471,207,1674,343,1724,0,18,1,0,0,0,19,0,0,0,64,64,83
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,16431,997,0,0,107,10,177,0,0,294,15085,14320,1346,765,212,1984,318,2111,0,27,6,0,0,0,33,0,0,1,22,22,55
Région,RSS03,03 - Capitale-Nationale,Total,56095,6282,5,11,608,0,711,52,0,1371,47030,44130,9065,2900,1155,9964,1590,11965,14,313,851,0,1,5,1184,0,0,2,212,212,1396
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,38683,1652,1,2,333,96,822,1,0,1252,35291,34732,3392,559,419,4284,668,3951,7,417,2,0,0,0,426,0,0,0,59,59,485
Région,RSS05,05 - Estrie,Total,33769,2033,0,11,652,14,810,1,0,1477,30056,29067,3713,989,623,3981,1088,4702,4,32,3,0,0,0,39,0,0,0,153,153,192
Région,RSS06,06 - Montréal,Total,205989,13821,126,285,4380,54,6570,516,3,11523,175917,161241,30072,14676,6891,30222,9842,44748,2125,868,822,12,54,39,3920,4,24,51,369,397,4317
Région,RSS07,07 - Outaouais,Total,29477,3838,17,33,220,2,1053,0,0,1275,24234,23255,5243,979,239,4820,955,6222,7,35,0,0,0,0,42,0,2,0,36,38,80
Région,RSS08,08 - Abitibi-Témiscamingue,Total,6858,103,187,0,38,1,40,2,0,81,6469,6171,389,298,29,256,268,687,0,5,1,0,0,0,6,0,0,1,12,12,18
Région,RSS09,09 - Côte-Nord,Total,5241,163,0,0,13,0,54,0,0,67,5000,4959,241,41,22,279,39,282,0,6,2,0,0,0,8,0,0,0,3,3,11
Région,RSS10,10 - Nord-du-Québec,Total,808,22,1,0,5,0,11,1,0,17,766,746,42,20,13,50,7,62,1,0,1,0,0,0,2,0,0,0,0,0,2
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,3794,185,0,0,34,0,56,1,0,91,3512,3463,282,49,38,346,47,331,0,3,3,0,0,0,6,0,0,0,0,0,6
Région,RSS12,12 - Chaudière-Appalaches,Total,45038,3450,1,10,607,13,1542,6,0,2168,39208,37959,5830,1249,880,8249,1391,7079,1,88,63,0,0,0,152,0,0,0,49,49,201
Région,RSS13,13 - Laval,Total,48684,3280,13,23,633,3,2926,34,0,3596,41293,38229,7391,3064,809,7239,1486,10455,124,40,211,1,12,6,394,0,1,11,84,85,479
Région,RSS14,14 - Lanaudière,Total,47407,1819,38,11,528,13,1868,104,0,2513,42397,40073,5010,2324,740,5257,1311,7334,110,111,240,2,23,2,488,0,2,1,139,141,629
Région,RSS15,15 - Laurentides,Total,58204,2559,33,59,536,7,2626,199,0,3368,50912,47848,7292,3064,1114,7485,1731,10356,457,224,348,0,7,1,1037,0,1,2,235,236,1273
Région,RSS16,16 - Montérégie,Total,99252,4291,26,155,1977,46,2552,80,0,4655,88888,84552,10364,4336,2485,10682,3345,14700,374,517,39,1,15,1,947,0,11,3,279,290,1237
Région,RSS00,Inconnu,Total,4425,52,1,0,245,1,63,2,0,311,4004,3810,421,194,31,262,338,615,5,14,7,0,1,0,27,0,1,0,29,30,57
Région,RSS98,Hors-Québec,Total,5036,125,11,10,204,2,112,0,0,318,4512,4391,524,121,208,320,337,645,16,14,2,0,0,0,32,0,2,7,26,28,60
Région,RSS99,Ensemble du Québec,Total,719004,45666,460,610,11195,265,22090,1000,3,34553,627134,591035,91870,36099,16115,97354,25104,127969,3245,2732,2602,16,113,54,8762,4,44,79,1771,1819,10581

