No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,7,20 780,"77,6"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,27,34 800,"77,6"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,6,19 117,"31,4"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,15,57 630,"26,0"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,62,197 074,"31,5"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,7,31 078,"22,5"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,8,25 064,"31,9"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,35,52 298,"66,9"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,65,67 417,"96,4"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,205,79 201,"258,8"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,352,277 632,"126,8"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,65,54 895,"118,4"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,953,321 016,"296,9"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,769,351 429,"218,8"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,28 119,"46,2"
3,03 - Capitale-Nationale,,Total,1900,755 459,"251,5"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,0,15 020,"0,0"
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,248,22 961,"1 080,1"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,360,64 641,"556,9"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,938,143 422,"654,0"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,57,44 619,"127,7"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,310,107 872,"287,4"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,31,98 244,"31,6"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2061,522 341,"394,6"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,137,56 125,"244,1"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,241,105 861,"227,7"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,101,52 514,"192,3"
5,05 - Estrie,0514,0514 - RLS de Coaticook,13,18 741,"69,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,321,170 075,"188,7"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,76,31 490,"241,3"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,47,14 257,"329,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,33,22 749,"145,1"
5,05 - Estrie,0519,0519 - RLS du Granit,16,21 351,"74,9"
5,05 - Estrie,,Total,987,493 163,"200,1"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1601,224 596,"712,8"
