No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,133, 7,2,31,,,175,"3,2%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,124, 27,12,43,,,211,"3,9%"
5,05 - Estrie,,1, 7,,15,3,,26,"0,5%"
6,06 - Montrﾃｩal,179,2327, 258,75,458,35,7,3339,"61,4%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,440, 54,41,121,5,,661,"12,1%"
14,14 - Lanaudiﾃｨre,3,110, 39,5,49,,,206,"3,8%"
15,15 - Laurentides,36,80, 12,14,36,2,,180,"3,3%"
16,16 - Montﾃｩrﾃｩgie,8,240, 90,28,190,5,,561,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,239,3496, 503,184,957,55,7,5441,
9999,,"4,4%","64,3%","9,2%","3,4%","17,6%","1,0%","0,1%",,"100,0%"
