date,Age_0_11_ans_DOSE_Numero1_cumu,Age_12_17_ans_DOSE_Numero1_cumu,Age_18_24_ans_DOSE_Numero1_cumu,Age_25_29_ans_DOSE_Numero1_cumu,Age_30_34_ans_DOSE_Numero1_cumu,Age_35_39_ans_DOSE_Numero1_cumu,Age_40_44_ans_DOSE_Numero1_cumu,Age_45_49_ans_DOSE_Numero1_cumu,Age_50_54_ans_DOSE_Numero1_cumu,Age_55_59_ans_DOSE_Numero1_cumu,Age_60_64_ans_DOSE_Numero1_cumu,Age_65_69_ans_DOSE_Numero1_cumu,Age_70_74_ans_DOSE_Numero1_cumu,Age_75_79_ans_DOSE_Numero1_cumu,Age_80_84_ans_DOSE_Numero1_cumu,Age_85_110_ans_DOSE_Numero1_cumu,Age_0_110_ans_DOSE_Numero1_cumu,Age_0_11_ans_DOSE_Numero1_jour,Age_12_17_ans_DOSE_Numero1_jour,Age_18_24_ans_DOSE_Numero1_jour,Age_25_29_ans_DOSE_Numero1_jour,Age_30_34_ans_DOSE_Numero1_jour,Age_35_39_ans_DOSE_Numero1_jour,Age_40_44_ans_DOSE_Numero1_jour,Age_45_49_ans_DOSE_Numero1_jour,Age_50_54_ans_DOSE_Numero1_jour,Age_55_59_ans_DOSE_Numero1_jour,Age_60_64_ans_DOSE_Numero1_jour,Age_65_69_ans_DOSE_Numero1_jour,Age_70_74_ans_DOSE_Numero1_jour,Age_75_79_ans_DOSE_Numero1_jour,Age_80_84_ans_DOSE_Numero1_jour,Age_85_110_ans_DOSE_Numero1_jour,Age_0_110_ans_DOSE_Numero1_jour,Age_0_11_ans_DOSE_Numero2_cumu,Age_12_17_ans_DOSE_Numero2_cumu,Age_18_24_ans_DOSE_Numero2_cumu,Age_25_29_ans_DOSE_Numero2_cumu,Age_30_34_ans_DOSE_Numero2_cumu,Age_35_39_ans_DOSE_Numero2_cumu,Age_40_44_ans_DOSE_Numero2_cumu,Age_45_49_ans_DOSE_Numero2_cumu,Age_50_54_ans_DOSE_Numero2_cumu,Age_55_59_ans_DOSE_Numero2_cumu,Age_60_64_ans_DOSE_Numero2_cumu,Age_65_69_ans_DOSE_Numero2_cumu,Age_70_74_ans_DOSE_Numero2_cumu,Age_75_79_ans_DOSE_Numero2_cumu,Age_80_84_ans_DOSE_Numero2_cumu,Age_85_110_ans_DOSE_Numero2_cumu,Age_0_110_ans_DOSE_Numero2_cumu,Age_0_11_ans_DOSE_Numero2_jour,Age_12_17_ans_DOSE_Numero2_jour,Age_18_24_ans_DOSE_Numero2_jour,Age_25_29_ans_DOSE_Numero2_jour,Age_30_34_ans_DOSE_Numero2_jour,Age_35_39_ans_DOSE_Numero2_jour,Age_40_44_ans_DOSE_Numero2_jour,Age_45_49_ans_DOSE_Numero2_jour,Age_50_54_ans_DOSE_Numero2_jour,Age_55_59_ans_DOSE_Numero2_jour,Age_60_64_ans_DOSE_Numero2_jour,Age_65_69_ans_DOSE_Numero2_jour,Age_70_74_ans_DOSE_Numero2_jour,Age_75_79_ans_DOSE_Numero2_jour,Age_80_84_ans_DOSE_Numero2_jour,Age_85_110_ans_DOSE_Numero2_jour,Age_0_110_ans_DOSE_Numero2_jour,Age_0_11_ans_DOSES_Total_cumu,Age_12_17_ans_DOSES_Total_cumu,Age_18_24_ans_DOSES_Total_cumu,Age_25_29_ans_DOSES_Total_cumu,Age_30_34_ans_DOSES_Total_cumu,Age_35_39_ans_DOSES_Total_cumu,Age_40_44_ans_DOSES_Total_cumu,Age_45_49_ans_DOSES_Total_cumu,Age_50_54_ans_DOSES_Total_cumu,Age_55_59_ans_DOSES_Total_cumu,Age_60_64_ans_DOSES_Total_cumu,Age_65_69_ans_DOSES_Total_cumu,Age_70_74_ans_DOSES_Total_cumu,Age_75_79_ans_DOSES_Total_cumu,Age_80_84_ans_DOSES_Total_cumu,Age_85_110_ans_DOSES_Total_cumu,Age_0_110_ans_DOSES_Total_cumu,Age_0_11_ans_DOSES_Total_jour,Age_12_17_ans_DOSES_Total_jour,Age_18_24_ans_DOSES_Total_jour,Age_25_29_ans_DOSES_Total_jour,Age_30_34_ans_DOSES_Total_jour,Age_35_39_ans_DOSES_Total_jour,Age_40_44_ans_DOSES_Total_jour,Age_45_49_ans_DOSES_Total_jour,Age_50_54_ans_DOSES_Total_jour,Age_55_59_ans_DOSES_Total_jour,Age_60_64_ans_DOSES_Total_jour,Age_65_69_ans_DOSES_Total_jour,Age_70_74_ans_DOSES_Total_jour,Age_75_79_ans_DOSES_Total_jour,Age_80_84_ans_DOSES_Total_jour,Age_85_110_ans_DOSES_Total_jour,Age_0_110_ans_DOSES_Total_jour
2020-12-14,1,0,4,5,5,6,14,9,10,12,12,14,10,25,35,134,296,1,0,4,5,5,6,14,9,10,12,12,14,10,25,35,134,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,6,14,9,10,12,12,14,10,25,35,134,296,1,0,4,5,5,6,14,9,10,12,12,14,10,25,35,134,296
2020-12-15,1,2,56,71,104,112,127,134,158,167,92,51,29,49,64,264,1481,0,2,52,66,99,106,113,125,148,155,80,37,19,24,29,130,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,56,71,104,112,127,134,158,167,92,51,29,49,64,264,1481,0,2,52,66,99,106,113,125,148,155,80,37,19,24,29,130,1185
2020-12-16,1,5,122,155,193,217,255,261,291,307,162,69,35,52,64,265,2454,0,3,66,84,89,105,128,127,133,140,70,18,6,3,0,1,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,122,155,193,217,255,261,291,307,162,69,35,52,64,265,2454,0,3,66,84,89,105,128,127,133,140,70,18,6,3,0,1,973
2020-12-17,1,5,198,228,307,329,373,362,430,416,225,88,43,53,64,270,3392,0,0,76,73,114,112,118,101,139,109,63,19,8,1,0,5,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,198,228,307,329,373,362,430,416,225,88,43,53,64,270,3392,0,0,76,73,114,112,118,101,139,109,63,19,8,1,0,5,938
2020-12-18,1,5,246,297,375,416,491,456,542,518,267,102,48,53,66,271,4154,0,0,48,69,68,87,118,94,112,102,42,14,5,0,2,1,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,246,297,375,416,491,456,542,518,267,102,48,53,66,271,4154,0,0,48,69,68,87,118,94,112,102,42,14,5,0,2,1,762
2020-12-19,1,7,294,371,451,500,578,549,632,613,326,113,58,54,67,271,4885,0,2,48,74,76,84,87,93,90,95,59,11,10,1,1,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,294,371,451,500,578,549,632,613,326,113,58,54,67,271,4885,0,2,48,74,76,84,87,93,90,95,59,11,10,1,1,0,731
2020-12-20,1,7,298,387,466,511,595,564,651,629,334,118,60,54,68,271,5014,0,0,4,16,15,11,17,15,19,16,8,5,2,0,1,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,298,387,466,511,595,564,651,629,334,118,60,54,68,271,5014,0,0,4,16,15,11,17,15,19,16,8,5,2,0,1,0,129
2020-12-21,1,7,328,426,498,563,642,602,689,683,365,139,83,84,102,350,5562,0,0,30,39,32,52,47,38,38,54,31,21,23,30,34,79,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,328,426,498,563,642,602,689,683,365,139,83,84,102,350,5562,0,0,30,39,32,52,47,38,38,54,31,21,23,30,34,79,548
2020-12-22,1,14,408,519,582,687,791,768,877,881,495,220,175,204,237,785,7644,0,7,80,93,84,124,149,166,188,198,130,81,92,120,135,435,2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,408,519,582,687,791,768,877,881,495,220,175,204,237,785,7644,0,7,80,93,84,124,149,166,188,198,130,81,92,120,135,435,2082
2020-12-23,1,31,685,777,839,1072,1207,1198,1368,1327,724,318,261,283,320,1062,11473,0,17,277,258,257,385,416,430,491,446,229,98,86,79,83,277,3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,685,777,839,1072,1207,1198,1368,1327,724,318,261,283,320,1062,11473,0,17,277,258,257,385,416,430,491,446,229,98,86,79,83,277,3829
