No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.88,754,1662.48,161,351.54,389,849.36,2799,6076.33,632,1364.16,400,863.39,975,2092.79
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,270,249.38,3164,2898.72,673,611.62,558,507.11,4809,4343.78,1735,1557.66,1115,1001.03,2082,1858.28
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,32,32.50,2306,2327.93,651,653.34,1171,1175.21,7333,7326.88,1601,1592.64,1399,1391.69,1932,1913.83
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),1839,349.78,11031,2084.04,2233,419.06,3857,723.83,30569,5706.87,9647,1791.64,7009,1301.71,12118,2239.32
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.65,844,1457.03,219,371.68,283,480.30,1612,2708.83,742,1234.69,639,1063.30,1071,1765.33
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,169,158.02,2712,2508.63,420,384.39,855,782.51,3648,3308.47,1334,1198.98,1290,1159.44,1835,1635.00
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,83,156.38,633,1176.15,210,384.87,664,1216.92,2349,4270.37,810,1460.78,580,1045.99,824,1474.85
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.77,402,2118.63,189,987.93,168,878.16,793,4126.02,242,1253.37,198,1025.48,348,1794.18
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.13,3634,2113.99,974,563.94,1999,1157.41,9096,5218.72,3324,1889.95,3224,1833.09,4024,2268.65
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.23,562,1758.94,172,535.19,292,908.58,1322,4088.77,435,1337.35,433,1331.20,594,1815.74
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,304.98,541,3727.31,62,424.60,482,3300.92,678,4628.78,222,1510.92,152,1034.51,255,1730.34
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.44,356,1538.59,126,539.85,408,1748.07,931,3967.10,402,1703.68,315,1334.97,397,1673.52
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.97,809,3722.36,745,3404.00,556,2540.44,1625,7398.47,206,934.58,229,1038.93,470,2125.25
05,05 - Estrie,,Total (incluant inconnus),790,158.77,10495,2090.36,3120,615.92,5711,1127.41,22078,4323.04,7724,1500.24,7071,1373.41,9825,1893.68
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,643.32,7253,3208.04,2223,984.95,2066,915.39,11744,5194.41,2687,1186.41,2356,1040.26,3361,1482.65
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1343.77,5629,3789.70,1735,1175.77,1403,950.78,9030,6112.73,1878,1269.90,1777,1201.60,2679,1811.22
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1310,995.19,4685,3605.04,1198,933.89,1529,1191.91,6866,5337.25,1812,1404.60,1524,1181.35,1971,1525.98
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2626,1066.57,10624,4401.30,2744,1159.97,2476,1046.68,13629,5725.81,3015,1258.88,2756,1150.74,3079,1281.00
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1642,978.61,4231,2556.98,1227,752.08,1560,956.19,9312,5693.67,2170,1323.56,1856,1132.04,2462,1499.82
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1396,865.77,4382,2802.44,1198,790.84,1434,946.63,9926,6478.33,2174,1403.01,1718,1108.72,2171,1390.41
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1697,1044.35,8568,5315.96,2849,1782.23,1996,1248.62,8493,5299.12,1750,1089.07,1658,1031.81,2191,1362.31
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,3848,2224.56,9026,5264.69,1988,1170.03,2359,1388.38,10843,6382.91,1897,1116.93,2172,1278.84,3173,1869.97
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,909,785.12,3568,3139.93,835,748.97,1085,973.21,8313,7440.39,1526,1362.88,1266,1130.67,1571,1401.61
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2102,1511.44,8800,6377.55,2184,1595.38,2615,1910.22,8450,6169.68,1232,899.11,1667,1216.57,2263,1652.55
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3326,1585.02,10086,4823.52,2372,1138.40,3207,1539.15,13290,6370.88,2489,1191.77,2817,1348.82,4293,2054.21
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2318,1222.48,6333,3365.96,1766,945.99,2093,1121.16,11665,6249.65,2288,1226.03,2468,1322.48,3932,2108.38
06,06 - Montréal,,Total (incluant inconnus),25422,1226.55,84096,4103.69,22438,1107.55,23976,1183.46,123048,6057.47,25253,1239.86,24460,1200.92,33849,1659.73
07,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,n.d.,80,395.22,283,1389.71,61,299.55,662,3241.21,149,727.36,127,619.97,325,1582.28
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,n.d.,409,1958.95,102,484.01,41,194.55,897,4239.23,215,1012.00,229,1077.90,348,1631.73
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,14,35.71,315,793.71,317,789.22,129,321.17,1967,4861.17,353,866.02,241,591.25,324,789.58
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,315,119.49,3935,1493.39,3818,1449.71,1569,595.76,14035,5298.55,2499,938.05,2097,787.15,2704,1009.85
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,22,38.17,685,1171.52,575,969.68,240,404.74,3244,5428.20,697,1157.31,564,936.47,919,1514.69
07,07 - Outaouais,,Total (incluant inconnus),361,89.96,5457,1354.86,5120,1266.50,2052,507.59,20908,5140.97,3937,962.30,3272,799.76,4643,1128.76
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,7,34.05,91,442.43,5,24.30,29,140.91,692,3361.75,423,2054.50,284,1379.38,438,2127.19
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,n.d.,n.d.,257,1033.00,19,76.17,42,168.38,1023,4097.90,386,1544.93,424,1697.02,394,1575.65
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,94,218.01,169,392.25,122,283.37,61,141.69,1412,3274.24,809,1872.86,514,1189.92,750,1733.64
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,6,13.73,196,448.11,93,212.50,100,228.49,2071,4726.31,735,1675.33,599,1365.34,704,1602.82
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,8,50.77,35,221.11,29,182.38,199,1251.49,732,4601.31,311,1954.01,239,1501.63,360,2261.31
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),122,82.45,750,506.41,270,182.13,432,291.42,5942,4004.04,2665,1793.91,2061,1387.34,2646,1779.42
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,0.00,11,340.40,n.d.,n.d.,n.d.,n.d.,217,6755.92,86,2672.47,67,2082.04,53,1644.43
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,41.77,129,317.11,178,437.79,210,516.49,1921,4730.48,1125,2773.74,863,2127.76,1230,3036.47
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,41,555.56,40,541.82,6,81.25,n.d.,n.d.,313,4242.34,125,1695.84,119,1614.43,165,2240.48
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,36,130.61,54,195.93,20,72.57,37,134.26,1803,6542.09,603,2187.87,623,2260.44,855,3102.27
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,n.d.,n.d.,13,201.61,8,123.88,n.d.,n.d.,354,5482.42,355,5498.76,276,4275.09,216,3345.72
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,0.00,6,129.62,n.d.,n.d.,n.d.,n.d.,364,7873.68,402,8714.50,276,5983.09,140,3041.83
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0.00,0,0.00,0,0.00,n.d.,n.d.,n.d.,n.d.,5,773.99,n.d.,n.d.,n.d.,n.d.
09,09 - Côte-Nord,,Total (incluant inconnus),103,113.68,258,284.85,225,248.50,265,292.68,5081,5615.39,2727,3015.79,2268,2508.18,2758,3052.20
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,n.d.,n.d.,86,639.45,20,149.05,26,193.77,764,5714.07,341,2559.48,341,2559.48,344,2590.75
10,10 - Nord-du-Québec,,Total (incluant inconnus),14,103.86,96,713.81,20,149.05,29,216.13,801,5990.80,342,2566.99,343,2574.50,348,2620.88
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,123,379.28,631,1930.99,142,431.28,151,458.62,1087,3289.65,890,2683.88,831,2505.96,938,2819.19
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,n.d.,30,278.50,103,949.13,10,92.15,532,4899.61,365,3359.72,315,2899.48,462,4250.43
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,68.86,434,2281.03,50,260.77,14,73.02,474,2462.91,637,3297.61,467,2417.56,495,2553.72
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,30,188.21,398,2487.89,77,479.60,97,604.17,815,5073.93,749,4660.86,438,2725.58,488,3035.20
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,70.42,33,255.36,16,122.46,10,76.53,471,3584.75,539,4079.62,276,2089.01,307,2311.40
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),179,197.31,1532,1676.21,391,424.67,287,311.71,3393,3674.15,3190,3444.03,2341,2527.42,2696,2902.51
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,306,117.81,5870,2242.31,3664,1388.76,2052,777.77,15411,5806.41,5011,1876.81,3561,1333.73,5039,1876.55
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,32,74.35,1262,2918.39,467,1074.82,903,2078.30,4213,9660.07,1050,2398.57,697,1592.20,1092,2485.55
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,32,43.68,3165,4317.02,2490,3393.71,2112,2878.52,6264,8515.21,1458,1976.84,988,1339.59,1554,2101.70
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,48.25,422,2525.21,328,1947.40,407,2416.43,1214,7175.36,294,1729.92,195,1147.40,317,1857.28
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,12,29.82,541,1338.35,509,1253.36,66,162.52,1973,4855.06,787,1935.33,558,1372.19,848,2084.02
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),393,90.79,11349,2606.11,7480,1707.35,5567,1270.70,29629,6731.64,8650,1956.19,6032,1364.13,8941,2013.03
13,13 - Laval,1311,1311 - RLS de Laval,4815,1087.41,19903,4492.84,5298,1195.42,7120,1606.53,27812,6245.26,5323,1189.58,5467,1221.77,7656,1703.51
13,13 - Laval,,Total (incluant inconnus),4898,1106.15,19918,4496.22,5304,1196.77,7126,1607.88,27893,6263.45,5333,1191.82,5474,1223.33,7744,1723.09
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1224,542.12,6539,2853.09,806,346.51,1645,707.22,12310,5237.22,3006,1265.71,2741,1154.13,4495,1873.96
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2174,727.89,9957,3311.82,2074,685.33,3360,1110.27,22003,7226.25,4195,1369.37,3552,1159.47,5371,1743.00
14,14 - Lanaudière,,Total (incluant inconnus),3472,662.02,16540,3121.69,2882,538.46,5011,936.23,34372,6370.67,7206,1325.02,6295,1157.51,9901,1806.71
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,21,58.56,766,2109.90,127,345.59,263,715.67,2189,5927.03,707,1904.84,770,2074.58,1113,2984.15
15,15 - Laurentides,1512,1512 - RLS des Laurentides,141,288.28,700,1411.36,208,413.65,613,1219.08,3160,6221.64,737,1436.73,612,1193.05,1114,2151.20
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,179,394.26,635,1371.77,147,311.58,564,1195.45,2394,5013.56,628,1299.62,630,1303.75,932,1907.10
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,78,230.80,417,1213.92,185,529.98,278,796.40,1828,5187.73,374,1051.54,371,1043.10,828,2307.08
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,551,440.90,2765,2190.63,688,539.75,1095,859.05,7679,5973.76,1749,1349.29,1606,1238.97,2339,1789.92
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,809,453.72,3688,2038.04,1113,606.16,2292,1248.26,12952,6971.78,2857,1520.17,2686,1429.18,4059,2135.85
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1004,609.86,4056,2446.27,1136,680.33,1463,876.16,12186,7250.31,2541,1502.01,2216,1309.90,2844,1670.44
15,15 - Laurentides,,Total (incluant inconnus),2848,450.72,13181,2061.06,3630,560.90,6611,1021.51,42896,6567.97,9656,1465.16,8972,1361.38,13371,2011.24
16,16 - Montérégie,1611,1611 - RLS de Champlain,1577,696.07,5571,2454.04,1618,711.31,2125,934.19,10041,4383.80,2594,1124.76,2453,1063.62,4220,1818.28
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,621,317.11,3925,1993.59,985,497.65,1523,769.46,9340,4689.84,2965,1479.70,2263,1129.37,4529,2246.76
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,1743,662.25,6517,2477.10,1730,657.83,1809,687.87,12181,4608.79,3233,1217.18,2806,1056.42,4674,1751.47
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,785,353.15,5947,2665.65,1180,527.00,1096,489.48,9656,4290.57,2958,1307.74,2520,1114.10,4135,1819.20
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,42,80.98,1097,2097.49,167,316.68,497,942.45,2561,4832.12,897,1684.06,474,889.91,1215,2269.99
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,546,338.32,3100,1903.69,1097,667.69,991,603.18,7907,4773.23,1693,1013.72,1474,882.59,2586,1536.60
16,16 - Montérégie,1632,1632 - RLS du Suroît,476,780.99,1217,1967.62,328,522.67,520,828.62,3694,5832.52,1010,1580.25,910,1423.79,1642,2546.03
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,88,358.17,478,1918.56,123,486.94,106,419.64,946,3715.71,210,818.43,239,931.45,539,2084.66
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,870,373.51,5358,2284.12,1635,692.13,1650,698.48,12233,5136.95,3499,1457.63,2973,1238.50,4365,1804.65
16,16 - Montérégie,,Total (incluant inconnus),6804,472.64,33324,2303.66,8889,611.53,10366,713.14,68987,4715.01,19170,1301.69,16208,1100.56,28105,1896.60
17,17 - Nunavik,1701,1701 - Nunavik,n.d.,n.d.,49,338.78,19,130.35,887,6085.35,1739,11845.24,377,2549.71,234,1582.58,292,1960.98
17,17 - Nunavik,,Total (incluant inconnus),n.d.,n.d.,54,373.35,20,137.21,890,6105.93,1763,12008.72,379,2563.24,234,1582.58,294,1974.41
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,5,27.24,100,540.00,7,37.48,27,144.55,1166,6194.38,894,4713.20,525,2767.82,362,1894.20
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),5,27.24,100,540.00,7,37.48,33,176.67,1180,6268.76,899,4739.56,526,2773.09,366,1915.13

