date,Age_0_11_ans_DOSE_Numero1_cumu,Age_12_17_ans_DOSE_Numero1_cumu,Age_18_24_ans_DOSE_Numero1_cumu,Age_25_29_ans_DOSE_Numero1_cumu,Age_30_34_ans_DOSE_Numero1_cumu,Age_35_39_ans_DOSE_Numero1_cumu,Age_40_44_ans_DOSE_Numero1_cumu,Age_45_49_ans_DOSE_Numero1_cumu,Age_50_54_ans_DOSE_Numero1_cumu,Age_55_59_ans_DOSE_Numero1_cumu,Age_60_64_ans_DOSE_Numero1_cumu,Age_65_69_ans_DOSE_Numero1_cumu,Age_70_74_ans_DOSE_Numero1_cumu,Age_75_79_ans_DOSE_Numero1_cumu,Age_80_84_ans_DOSE_Numero1_cumu,Age_85_110_ans_DOSE_Numero1_cumu,Age_0_110_ans_DOSE_Numero1_cumu,Age_0_11_ans_DOSE_Numero1_jour,Age_12_17_ans_DOSE_Numero1_jour,Age_18_24_ans_DOSE_Numero1_jour,Age_25_29_ans_DOSE_Numero1_jour,Age_30_34_ans_DOSE_Numero1_jour,Age_35_39_ans_DOSE_Numero1_jour,Age_40_44_ans_DOSE_Numero1_jour,Age_45_49_ans_DOSE_Numero1_jour,Age_50_54_ans_DOSE_Numero1_jour,Age_55_59_ans_DOSE_Numero1_jour,Age_60_64_ans_DOSE_Numero1_jour,Age_65_69_ans_DOSE_Numero1_jour,Age_70_74_ans_DOSE_Numero1_jour,Age_75_79_ans_DOSE_Numero1_jour,Age_80_84_ans_DOSE_Numero1_jour,Age_85_110_ans_DOSE_Numero1_jour,Age_0_110_ans_DOSE_Numero1_jour,Age_0_11_ans_DOSE_Numero2_cumu,Age_12_17_ans_DOSE_Numero2_cumu,Age_18_24_ans_DOSE_Numero2_cumu,Age_25_29_ans_DOSE_Numero2_cumu,Age_30_34_ans_DOSE_Numero2_cumu,Age_35_39_ans_DOSE_Numero2_cumu,Age_40_44_ans_DOSE_Numero2_cumu,Age_45_49_ans_DOSE_Numero2_cumu,Age_50_54_ans_DOSE_Numero2_cumu,Age_55_59_ans_DOSE_Numero2_cumu,Age_60_64_ans_DOSE_Numero2_cumu,Age_65_69_ans_DOSE_Numero2_cumu,Age_70_74_ans_DOSE_Numero2_cumu,Age_75_79_ans_DOSE_Numero2_cumu,Age_80_84_ans_DOSE_Numero2_cumu,Age_85_110_ans_DOSE_Numero2_cumu,Age_0_110_ans_DOSE_Numero2_cumu,Age_0_11_ans_DOSE_Numero2_jour,Age_12_17_ans_DOSE_Numero2_jour,Age_18_24_ans_DOSE_Numero2_jour,Age_25_29_ans_DOSE_Numero2_jour,Age_30_34_ans_DOSE_Numero2_jour,Age_35_39_ans_DOSE_Numero2_jour,Age_40_44_ans_DOSE_Numero2_jour,Age_45_49_ans_DOSE_Numero2_jour,Age_50_54_ans_DOSE_Numero2_jour,Age_55_59_ans_DOSE_Numero2_jour,Age_60_64_ans_DOSE_Numero2_jour,Age_65_69_ans_DOSE_Numero2_jour,Age_70_74_ans_DOSE_Numero2_jour,Age_75_79_ans_DOSE_Numero2_jour,Age_80_84_ans_DOSE_Numero2_jour,Age_85_110_ans_DOSE_Numero2_jour,Age_0_110_ans_DOSE_Numero2_jour,Age_0_11_ans_DOSES_Total_cumu,Age_12_17_ans_DOSES_Total_cumu,Age_18_24_ans_DOSES_Total_cumu,Age_25_29_ans_DOSES_Total_cumu,Age_30_34_ans_DOSES_Total_cumu,Age_35_39_ans_DOSES_Total_cumu,Age_40_44_ans_DOSES_Total_cumu,Age_45_49_ans_DOSES_Total_cumu,Age_50_54_ans_DOSES_Total_cumu,Age_55_59_ans_DOSES_Total_cumu,Age_60_64_ans_DOSES_Total_cumu,Age_65_69_ans_DOSES_Total_cumu,Age_70_74_ans_DOSES_Total_cumu,Age_75_79_ans_DOSES_Total_cumu,Age_80_84_ans_DOSES_Total_cumu,Age_85_110_ans_DOSES_Total_cumu,Age_0_110_ans_DOSES_Total_cumu,Age_0_11_ans_DOSES_Total_jour,Age_12_17_ans_DOSES_Total_jour,Age_18_24_ans_DOSES_Total_jour,Age_25_29_ans_DOSES_Total_jour,Age_30_34_ans_DOSES_Total_jour,Age_35_39_ans_DOSES_Total_jour,Age_40_44_ans_DOSES_Total_jour,Age_45_49_ans_DOSES_Total_jour,Age_50_54_ans_DOSES_Total_jour,Age_55_59_ans_DOSES_Total_jour,Age_60_64_ans_DOSES_Total_jour,Age_65_69_ans_DOSES_Total_jour,Age_70_74_ans_DOSES_Total_jour,Age_75_79_ans_DOSES_Total_jour,Age_80_84_ans_DOSES_Total_jour,Age_85_110_ans_DOSES_Total_jour,Age_0_110_ans_DOSES_Total_jour
2020-12-14,1,0,4,5,4,6,14,8,10,12,11,14,10,25,35,133,292,1,0,4,5,4,6,14,8,10,12,11,14,10,25,35,133,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,4,6,14,8,10,12,11,14,10,25,35,133,292,1,0,4,5,4,6,14,8,10,12,11,14,10,25,35,133,292
2020-12-15,,2,54,71,100,112,126,131,155,165,90,52,29,49,64,263,1463,,2,50,66,96,106,112,123,145,153,79,38,19,24,29,130,1172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,54,71,100,112,126,131,155,165,90,52,29,49,64,263,1463,,2,50,66,96,106,112,123,145,153,79,38,19,24,29,130,1172
2020-12-16,,4,120,153,187,216,249,257,284,300,160,69,35,52,64,264,2414,,2,66,82,87,104,123,126,129,135,70,17,6,3,0,1,951,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,120,153,187,216,249,257,284,300,160,69,35,52,64,264,2414,,2,66,82,87,104,123,126,129,135,70,17,6,3,0,1,951
2020-12-17,,4,190,223,296,326,365,353,421,404,221,87,42,53,64,269,3318,,0,70,70,109,110,116,96,137,104,61,18,7,1,0,5,904,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,190,223,296,326,365,353,421,404,221,87,42,53,64,269,3318,,0,70,70,109,110,116,96,137,104,61,18,7,1,0,5,904
2020-12-18,,4,236,290,357,407,479,443,529,502,261,99,47,53,66,270,4043,,0,46,67,61,81,114,90,108,98,40,12,5,0,2,1,725,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,236,290,357,407,479,443,529,502,261,99,47,53,66,270,4043,,0,46,67,61,81,114,90,108,98,40,12,5,0,2,1,725
2020-12-19,,6,282,362,430,491,567,533,617,597,320,110,57,54,67,270,4763,,2,46,72,73,84,88,90,88,95,59,11,10,1,1,0,720,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,282,362,430,491,567,533,617,597,320,110,57,54,67,270,4763,,2,46,72,73,84,88,90,88,95,59,11,10,1,1,0,720
2020-12-20,,6,285,378,446,501,583,546,632,609,328,115,58,54,68,270,4879,,0,3,16,16,10,16,13,15,12,8,5,1,0,1,0,116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,285,378,446,501,583,546,632,609,328,115,58,54,68,270,4879,,0,3,16,16,10,16,13,15,12,8,5,1,0,1,0,116
2020-12-21,,6,312,413,474,544,624,579,667,656,359,136,78,84,102,349,5383,,0,27,35,28,43,41,33,35,47,31,21,20,30,34,79,504,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,312,413,474,544,624,579,667,656,359,136,78,84,102,349,5383,,0,27,35,28,43,41,33,35,47,31,21,20,30,34,79,504
2020-12-22,,13,385,502,554,660,769,735,848,847,488,216,167,203,237,783,7407,,7,73,89,80,116,145,156,181,191,129,80,89,119,135,434,2024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,385,502,554,660,769,735,848,847,488,216,167,203,237,783,7407,,7,73,89,80,116,145,156,181,191,129,80,89,119,135,434,2024
2020-12-23,,30,659,754,805,1037,1184,1157,1331,1282,709,310,251,281,320,1060,11170,,17,274,252,251,377,415,422,483,435,221,94,84,78,83,277,3763,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,659,754,805,1037,1184,1157,1331,1282,709,310,251,281,320,1060,11170,,17,274,252,251,377,415,422,483,435,221,94,84,78,83,277,3763
2020-12-24,,49,896,975,1036,1329,1485,1468,1682,1684,903,380,308,337,380,1279,14191,,19,237,221,231,292,301,311,351,402,194,70,57,56,60,219,3021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49,896,975,1036,1329,1485,1468,1682,1684,903,380,308,337,380,1279,14191,,19,237,221,231,292,301,311,351,402,194,70,57,56,60,219,3021
