Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,3258,994,0,0,16,98,114,2150,1681,1108,469,206,1675,211,1577
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3560,997,0,0,58,177,235,2328,1570,1232,758,212,1984,206,1990
Région,RSS03,03 - Capitale-Nationale,Total,17199,6280,5,11,452,714,1166,9737,6867,7462,2870,1151,9966,1019,10332
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,8599,1652,1,2,211,825,1036,5908,5365,2691,543,416,4288,327,3234
Région,RSS05,05 - Estrie,Total,11841,2033,0,11,334,811,1145,8652,7682,3189,970,622,3981,381,4159
Région,RSS06,06 - Montréal,Total,82553,13820,126,285,3891,6578,10469,57853,45742,24700,12111,6883,30228,6833,36811
Région,RSS07,07 - Outaouais,Total,8727,3839,17,33,156,1053,1209,3629,3345,5098,284,238,4821,761,5382
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1173,103,187,0,24,44,68,815,711,358,104,25,260,239,462
Région,RSS09,09 - Côte-Nord,Total,526,163,0,0,11,54,65,298,257,228,41,22,279,33,269
Région,RSS10,10 - Nord-du-Québec,Total,68,22,1,0,5,11,16,29,10,39,19,13,50,5,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,749,185,0,0,33,56,89,475,427,274,48,38,346,36,322
Région,RSS12,12 - Chaudière-Appalaches,Total,15942,3452,1,10,396,1549,1945,10534,9856,5408,678,872,8259,1006,6086
Région,RSS13,13 - Laval,Total,20716,3280,13,23,588,2926,3514,13886,12524,6830,1362,809,7239,947,8192
Région,RSS14,14 - Lanaudière,Total,13205,1820,38,11,307,1876,2183,9153,7340,4052,1813,732,5265,713,5865
Région,RSS15,15 - Laurentides,Total,15677,2558,33,59,384,2626,3010,10017,7252,5660,2765,1114,7483,1034,8425
Région,RSS16,16 - Montérégie,Total,30752,4291,26,155,1667,2554,4221,22059,18749,8693,3310,2483,10684,1721,12003
Région,RSS00,Inconnu,Total,1386,51,1,0,28,64,92,1242,1097,144,145,30,263,70,289
Région,RSS98,Hors-Québec,Total,990,125,11,10,195,112,307,537,438,453,99,208,321,264,552
Région,RSS99,Ensemble du Québec,Total,236921,45665,460,610,8756,22128,30884,159302,130913,77619,28389,16074,97392,15806,106008

