date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t
2020-12-29,Région,RSS06,Montréal,67622,2780,70402,3408.21,25.85,534,0,534,7494,362.79,na,na,58526,647,3833,185.56,0.0,2753,492,431,157,0,0,0,0,0,na,na,4994.0,947.0,5941.0,287.61,0.0,0.0,0.0,0.0,na,686832,67222,619610,0,0,0,na
2020-12-30,Région,RSS06,Montréal,68554,2784,71338,3453.53,22.85,470,2,472,7766,375.96,na,na,59170,632,3847,186.24,0.19,2758,495,435,159,4,1,2,1,0,na,na,5073.0,964.0,6037.0,292.26,0.0,0.0,0.0,0.0,na,689476,68215,621261,0,0,0,na
2021-01-03,Région,RSS06,Montréal,72399,2791,75190,3617.58,21.55,448,0,448,8392,403.76,na,na,62359,585,3881,186.72,0.19,2765,503,453,160,4,2,2,0,0,na,na,5223.0,998.0,6221.0,299.31,0.0,0.0,0.0,0.0,na,698346,71656,626690,0,0,0,na
2021-01-04,Région,RSS06,Montréal,73189,2791,75980,3655.58,21.12,439,0,439,8660,416.65,na,na,62864,498,3893,187.3,0.05,2768,503,461,161,1,0,0,1,0,na,na,5266.0,1003.0,6269.0,301.62,0.0,0.0,0.0,0.0,na,700367,72436,627931,0,0,0,na
2021-01-05,Région,RSS06,Montréal,74035,2791,76826,3696.29,24.39,507,0,507,8768,421.85,na,na,63577,700,3909,188.07,0.05,2770,508,470,161,1,0,1,0,0,na,na,5330.0,1012.0,6342.0,305.13,0.0,0.0,0.0,0.0,na,702137,73105,629032,0,0,0,na
2021-01-06,Région,RSS06,Montréal,74903,2792,77695,3738.1,27.76,576,1,577,8961,431.14,na,na,64221,640,3933,189.23,0.14,2780,515,475,163,3,0,2,0,1,na,na,5395.0,1022.0,6417.0,308.74,0.0,0.0,0.0,0.0,na,704583,73981,630602,0,0,0,na
2021-01-07,Région,RSS06,Montréal,75738,2794,78532,3778.37,20.69,428,2,430,8569,412.28,na,na,65421,1161,3944,189.76,0.1,2782,519,480,163,2,1,0,1,0,na,na,5441.0,1026.0,6467.0,311.14,0.0,0.0,0.0,0.0,na,707264,74870,632394,0,0,0,na
2021-01-08,Région,RSS06,Montréal,77269,2794,80063,3852.03,28.29,588,0,588,8985,432.29,na,na,66524,1092,3953,190.19,0.05,2785,523,482,163,1,0,1,0,0,na,na,5493.0,1036.0,6529.0,314.13,0.0,0.0,0.0,0.0,na,709990,75904,634086,0,0,0,na
