Date,Regroupement,Croisement,Nom,dec_hebdo_tot_n,dec_hebdo_tot_t,dec_quo_tot_t,dec_quo_tot_n,dec_quo_tot_m,dec_quo_tot_tm,hos_heb_testpos_n,hos_heb_testpos_t,hos_quo_testpos_t,hos_quo_testpos_n,hos_quo_testpos_m,hos_act_testpos_n,hos_heb_dxurg_n,hos_heb_dxurg_t,hos_quo_dxurg_t,hos_quo_dxurg_n,hos_quo_dxurg_m,hos_act_dxurg_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_n,psi_heb_inf_n,psi_heb_tes_n,psi_heb_pos_t,psi_quo_tot_m,psi_heb_cas_t
2020-01-24,Région,RSS17,17 - Nunavik,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Région,RSS00,Inconnu,0,.,.,0,,,0,.,.,0,,0,0,.,.,0,,0,0,0,0,.,0,0,0,.,,.
2020-01-24,Région,RSS98,Hors Québec,0,.,.,0,,,0,.,.,0,,0,0,.,.,0,,0,0,0,0,.,0,0,0,.,,.
2020-01-24,Région,RSS99,Ensemble du Québec,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,2,2,0.00,,0.00
2020-01-24,Groupe de région,REG01,Montréal et Laval,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,2,2,0.00,,0.00
2020-01-24,Groupe de région,REG02,Ceinture de Montréal,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe de région,REG03,Autres régions,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe de région,REG00,Inconnu,0,.,.,0,,,0,.,.,0,,.,0,.,.,0,,.,0,0,0,.,0,0,0,.,,.
2020-01-24,Groupe de région,REG98,Hors Québec,0,.,.,0,,,0,.,.,0,,.,0,.,.,0,,.,0,0,0,.,0,0,0,.,,.
2020-01-24,Groupe d'âge,0_9,0-9 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,10_19,10-19 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,20_29,20-29 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,30_39,30-39 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,1,1,0.00,,0.00
2020-01-24,Groupe d'âge,40_49,40-49 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,1,1,0.00,,0.00
2020-01-24,Groupe d'âge,50_59,50-59 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,60_69,60-69 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,70_79,70-79 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,80_89,80-89 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,90_,90 ans et plus,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Groupe d'âge,INC,Inconnu,0,.,.,0,,,0,.,.,0,,0,0,.,.,0,,0,0,0,0,.,0,0,0,.,,.
2020-01-24,Groupe d'âge,TOT,Total,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,2,2,0.00,,0.00
2020-01-24,Sexe,MASC,Masculin,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,2,2,0.00,,0.00
2020-01-24,Sexe,FEM,Féminin,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-24,Sexe,INC,Inconnu,0,.,.,0,,,0,.,.,0,,.,0,.,.,0,,.,0,0,0,.,0,0,0,.,,.
2020-01-24,Sexe,TOT,Total,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,2,2,0.00,,0.00
2020-01-25,Région,RSS01,01 - Bas-Saint-Laurent,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS03,03 - Capitale-Nationale,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS04,04 - Mauricie et Centre-du-Québec,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS05,05 - Estrie,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS06,06 - Montréal,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,2,2,0.00,,0.00
2020-01-25,Région,RSS07,07 - Outaouais,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS08,08 - Abitibi-Témiscamingue,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS09,09 - Côte-Nord,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS10,10 - Nord-du-Québec,0,0.00,0.00,0,,,0,0.00,.,.,,.,0,0.00,.,.,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS12,12 - Chaudière-Appalaches,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS13,13 - Laval,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS14,14 - Lanaudière,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-25,Région,RSS15,15 - Laurentides,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
