No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,11,20 780,"52,9"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,30,34 800,"86,2"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,8,19 117,"41,8"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,19,57 630,"33,0"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,n.d.,20 726,n.d.
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,78,197 074,"39,6"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,14,31 078,"45,0"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,25 064,"63,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,44,52 298,"84,1"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,66,67 417,"97,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,207,79 201,"261,4"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,379,277 632,"136,5"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,74,54 895,"134,8"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1195,321 016,"372,3"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,863,351 429,"245,6"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,15,28 119,"53,3"
3,03 - Capitale-Nationale,,Total,2171,755 459,"287,4"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,120,25 562,"469,4"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,251,22 961,"1 093,2"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,361,64 641,"558,5"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,948,143 422,"661,0"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,64,44 619,"143,4"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,343,107 872,"318,0"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,45,98 244,"45,8"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2155,522 341,"412,6"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,163,56 125,"290,4"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,296,105 861,"279,6"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,108,52 514,"205,7"
5,05 - Estrie,0514,0514 - RLS de Coaticook,16,18 741,"85,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,529,170 075,"311,0"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,79,31 490,"250,9"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
