Date;Nouveaux cas;Cumulatif de cas;;
2020-02-25;1;1;;
2020-02-26;0;1;;
2020-02-27;0;1;;
2020-02-28;0;1;;
2020-02-29;0;1;;
2020-03-01;0;1;;
2020-03-02;2;3;;
2020-03-03;0;3;;
2020-03-04;0;3;;
2020-03-05;0;3;;
2020-03-06;0;3;;
2020-03-07;0;3;;
2020-03-08;1;4;;
2020-03-09;1;5;;
2020-03-10;2;7;;
2020-03-11;3;10;;
2020-03-12;3;13;;
2020-03-13;2;15;;
2020-03-14;5;20;;
2020-03-15;6;26;;
2020-03-16;5;31;;
2020-03-17;7;38;;
2020-03-18;6;44;;
2020-03-19;36;80;;
2020-03-20;49;129;;
2020-03-21;90;219;;
2020-03-22;90;309;;
2020-03-23;133;442;;
2020-03-24;144;586;;
2020-03-25;187;773;;
2020-03-26;180;953;;
2020-03-27;243;1196;;
2020-03-28;200;1396;;
2020-03-29;259;1655;;
2020-03-30;266;1921;;
2020-03-31;331;2252;;
2020-04-01;305;2557;;
2020-04-02;408;2965;;
2020-04-03;348;3313;;
2020-04-04;340;3653;;
2020-04-05;261;3914;;
2020-04-06;456;4370;;
2020-04-07;423;4793;;
2020-04-08;375;5168;;
2020-04-09;350;5518;;
2020-04-10;305;5823;;
2020-04-11;264;6087;;
2020-04-12;329;6416;;
2020-04-13;542;6958;;
2020-04-14;469;7427;;
2020-04-15;613;8040;;
2020-04-16;497;8537;;
2020-04-17;571;9108;;
2020-04-18;329;9437;;
2020-04-19;432;9869;;
2020-04-20;481;10350;;
2020-04-21;461;10811;;
2020-04-22;536;11347;;
2020-04-23;530;11877;;
2020-04-24;495;12372;;
2020-04-25;318;12690;;
2020-04-26;287;12977;;
2020-04-27;462;13439;;
2020-04-28;475;13914;;
2020-04-29;523;14437;;
2020-04-30;587;15024;;
2020-05-01;621;15645;;
2020-05-02;525;16170;;
2020-05-03;345;16515;;
2020-05-04;422;16937;;
2020-05-05;470;17407;;
2020-05-06;568;17975;;
2020-05-07;431;18406;;
2020-05-08;433;18839;;
2020-05-09;314;19153;;
2020-05-10;299;19452;;
2020-05-11;363;19815;;
2020-05-12;430;20245;;
2020-05-13;402;20647;;
2020-05-14;354;21001;;
2020-05-15;346;21347;;
2020-05-16;272;21619;;
2020-05-17;336;21955;;
2020-05-18;332;22287;;
2020-05-19;316;22603;;
2020-05-20;408;23011;;
2020-05-21;380;23391;;
2020-05-22;254;23645;;
2020-05-23;218;23863;;
2020-05-24;215;24078;;
2020-05-25;208;24286;;
2020-05-26;240;24526;;
2020-05-27;254;24780;;
2020-05-28;194;24974;;
2020-05-29;194;25168;;
2020-05-30;206;25374;;
2020-05-31;140;25514;;
2020-06-01;159;25673;;
2020-06-02;97;25770;;
2020-06-03;115;25885;;
2020-06-04;129;26014;;
2020-06-05;107;26121;;
2020-06-06;104;26225;;
2020-06-07;76;26301;;
2020-06-08;51;26352;;
2020-06-09;80;26432;;
2020-06-10;66;26498;;
2020-06-11;66;26564;;
2020-06-12;72;26636;;
2020-06-13;67;26703;;
2020-06-14;28;26731;;
2020-06-15;56;26787;;
2020-06-16;73;26860;;
2020-06-17;52;26912;;
2020-06-18;49;26961;;
2020-06-19;65;27026;;
2020-06-20;33;27059;;
2020-06-21;26;27085;;
2020-06-22;39;27124;;
2020-06-23;40;27164;;
2020-06-24;28;27192;;
2020-06-25;47;27239;;
2020-06-26;42;27281;;
2020-06-27;30;27311;;
2020-06-28;18;27329;;
2020-06-29;16;27345;;
2020-06-30;40;27385;;
2020-07-01;23;27408;;
2020-07-02;17;27425;;
2020-07-03;18;27443;;
2020-07-04;15;27458;;
2020-07-05;7;27465;;
2020-07-06;16;27481;;
2020-07-07;21;27502;;
2020-07-08;33;27535;;
2020-07-09;52;27587;;
2020-07-10;48;27635;;
2020-07-11;22;27657;;
2020-07-12;13;27670;;
2020-07-13;76;27746;;
2020-07-14;66;27812;;
2020-07-15;69;27881;;
2020-07-16;68;27949;;
2020-07-17;100;28049;;
2020-07-18;98;28147;;
2020-07-19;54;28201;;
2020-07-20;37;28238;;
2020-07-21;65;28303;;
2020-07-22;78;28381;;
2020-07-23;98;28479;;
2020-07-24;69;28548;;
2020-07-25;32;28580;;
2020-07-26;52;28632;;
2020-07-27;41;28673;;
2020-07-28;37;28710;;
2020-07-29;71;28781;;
2020-07-30;60;28841;;
2020-07-31;57;28898;;
2020-08-01;51;28949;;
2020-08-02;30;28979;;
2020-08-03;45;29024;;
2020-08-04;64;29088;;
2020-08-05;47;29135;;
2020-08-06;21;29156;;
2020-08-07;46;29202;;
2020-08-08;37;29239;;
2020-08-09;36;29275;;
2020-08-10;33;29308;;
2020-08-11;36;29344;;
2020-08-12;34;29378;;
2020-08-13;38;29416;;
2020-08-14;30;29446;;
2020-08-15;14;29460;;
2020-08-16;12;29472;;
2020-08-17;17;29489;;
2020-08-18;16;29505;;
2020-08-19;22;29527;;
2020-08-20;34;29561;;
2020-08-21;33;29594;;
2020-08-22;20;29614;;
2020-08-23;23;29637;;
2020-08-24;10;29647;;
2020-08-25;30;29677;;
2020-08-26;42;29719;;
2020-08-27;43;29762;;
2020-08-28;24;29786;;
2020-08-29;55;29841;;
2020-08-30;13;29854;;
2020-08-31;32;29886;;
2020-09-01;35;29921;;
2020-09-02;36;29957;;
2020-09-03;70;30027;;
2020-09-04;49;30076;;
2020-09-05;67;30143;;
2020-09-06;59;30202;;
2020-09-07;51;30253;;
2020-09-08;72;30325;;
2020-09-09;70;30395;;
2020-09-10;89;30484;;
2020-09-11;108;30592;;
2020-09-12;71;30663;;
2020-09-13;96;30759;;
2020-09-14;73;30832;;
2020-09-15;94;30926;;
2020-09-16;79;31005;;
2020-09-17;71;31076;;
2020-09-18;200;31276;;
2020-09-19;139;31415;;
2020-09-20;204;31619;;
2020-09-21;141;31760;;
2020-09-22;169;31929;;
2020-09-23;254;32183;;
2020-09-24;231;32414;;
2020-09-25;288;32702;;
2020-09-26;343;33045;;
