date,0d,1d,2d,3d
2021-07-18,38,17,6,0
2021-07-19,41,23,6,0
2021-07-20,52,29,11,0
2021-07-21,44,23,15,0
2021-07-22,60,38,16,0
2021-07-23,60,28,13,0
2021-07-24,37,25,9,0
2021-07-25,39,16,8,0
2021-07-26,48,32,14,0
2021-07-27,78,35,10,0
2021-07-28,74,30,12,0
2021-07-29,60,21,9,0
2021-07-30,130,44,27,0
2021-07-31,86,25,24,0
2021-08-01,80,30,14,0
2021-08-02,98,43,28,0
2021-08-03,106,38,26,0
2021-08-04,152,56,33,0
2021-08-05,167,57,33,0
2021-08-06,142,59,36,0
2021-08-07,141,49,46,0
2021-08-08,156,31,34,0
2021-08-09,158,52,54,0
2021-08-10,196,88,49,0
2021-08-11,243,80,61,0
2021-08-12,244,87,61,0
2021-08-13,221,87,42,0
2021-08-14,245,62,36,0
2021-08-15,227,50,57,0
2021-08-16,237,66,48,0
2021-08-17,252,62,64,0
2021-08-18,314,78,62,0
2021-08-19,339,98,74,0
2021-08-20,302,80,94,0
2021-08-21,232,54,60,0
2021-08-22,209,64,57,0
2021-08-23,243,76,68,1
2021-08-24,361,61,99,0
2021-08-25,388,93,105,0
2021-08-26,404,100,107,0
2021-08-27,349,73,68,0
2021-08-28,332,68,92,0
2021-08-29,242,44,97,0
2021-08-30,371,54,100,0
2021-08-31,447,65,132,1
2021-09-01,498,64,128,1
2021-09-02,485,91,140,0
2021-09-03,405,74,144,0
2021-09-04,436,60,123,0
2021-09-05,318,52,105,0
2021-09-06,368,44,119,0
2021-09-07,458,39,122,0
2021-09-08,536,58,171,0
2021-09-09,617,65,210,1
2021-09-10,598,72,214,0
2021-09-11,426,55,191,0
2021-09-12,413,40,139,0
2021-09-13,418,38,160,0
2021-09-14,520,46,155,0
2021-09-15,564,48,188,0
2021-09-16,549,65,197,3
2021-09-17,539,47,180,0
2021-09-18,432,38,206,0
2021-09-19,426,33,158,0
2021-09-20,411,26,139,2
2021-09-21,444,31,158,0
2021-09-22,485,50,206,0
2021-09-23,484,30,195,1
2021-09-24,537,44,179,1
2021-09-25,412,19,164,0
2021-09-26,312,24,123,0
2021-09-27,319,19,139,1
2021-09-28,383,26,166,1
2021-09-29,445,38,209,2
2021-09-30,377,25,183,1
2021-10-01,378,34,168,0
2021-10-02,291,27,116,0
2021-10-03,263,17,131,1
2021-10-04,305,19,118,2
2021-10-05,321,25,153,0
2021-10-06,367,24,180,1
2021-10-07,434,24,183,1
2021-10-08,376,21,190,1
2021-10-09,362,24,148,1
2021-10-10,272,11,123,0
2021-10-11,265,18,151,0
2021-10-12,364,26,167,2
2021-10-13,400,13,179,0
2021-10-14,438,25,221,1
2021-10-15,424,26,213,0
2021-10-16,287,19,164,1
2021-10-17,221,14,103,0
2021-10-18,257,11,112,1
2021-10-19,270,13,146,0
2021-10-20,282,13,113,0
2021-10-21,232,14,147,0
2021-10-22,299,20,150,2
2021-10-23,243,7,127,1
2021-10-24,170,6,128,3
2021-10-25,234,12,141,2
2021-10-26,248,21,164,3
2021-10-27,263,24,154,0
2021-10-28,350,23,171,3
2021-10-29,344,24,233,2
2021-10-30,297,9,185,3
2021-10-31,294,8,191,1
2021-11-01,274,16,176,3
2021-11-02,328,13,177,1
2021-11-03,341,27,224,4
2021-11-04,380,20,223,2
2021-11-05,372,18,220,9
2021-11-06,351,18,220,3
2021-11-07,259,17,158,4
2021-11-08,300,9,192,4
2021-11-09,458,27,213,5
2021-11-10,400,17,228,5
2021-11-11,402,31,253,3
2021-11-12,441,23,238,5
2021-11-13,323,13,197,2
2021-11-14,284,11,175,1
2021-11-15,327,17,199,6
2021-11-16,432,15,277,5
2021-11-17,432,13,293,4
2021-11-18,372,17,324,11
2021-11-19,450,25,331,1
2021-11-20,357,23,286,3
2021-11-21,373,22,270,3
2021-11-22,416,16,257,6
2021-11-23,526,21,323,8
2021-11-24,557,24,411,4
2021-11-25,675,18,431,5
2021-11-26,558,13,409,8
2021-11-27,415,12,353,5
2021-11-28,382,21,319,2
2021-11-29,458,21,394,6
2021-11-30,658,20,485,13
2021-12-01,690,29,538,6
2021-12-02,735,25,604,13
2021-12-03,758,30,639,8
2021-12-04,688,24,565,4
2021-12-05,557,14,516,9
2021-12-06,623,20,531,11
2021-12-07,801,24,682,16
2021-12-08,897,33,913,16
2021-12-09,960,36,911,20
2021-12-10,997,49,1033,16
2021-12-11,780,28,821,19
2021-12-12,706,45,771,16
2021-12-13,832,73,1182,24
2021-12-14,982,79,1563,32
2021-12-15,1108,117,2046,48
2021-12-16,1114,133,2584,47
2021-12-17,1180,169,2793,62
2021-12-18,1101,223,3135,71
2021-12-19,877,229,3039,82
2021-12-20,1114,276,4460,110
2021-12-21,1306,348,5988,161
2021-12-22,1522,443,8483,248
2021-12-23,1390,444,9433,344
2021-12-24,1272,408,8612,355
2021-12-25,1281,405,8149,348
2021-12-26,1184,459,8232,437
2021-12-27,1508,536,9772,604
2021-12-28,1747,626,11267,837
2021-12-29,2219,850,13515,1191
2021-12-30,2145,807,12992,1427
2021-12-31,1991,770,11446,1375
2022-01-01,1948,743,10830,1323
2022-01-02,1802,686,10758,1210
2022-01-03,1731,609,9605,1262
2022-01-04,2040,746,11887,1578
