No,RSS,NoRLS,RLS,Cas,Population,Taux
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2070,149 522,"1 384,4"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1327,131 424,"1 009,7"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2830,245 703,"1 151,8"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1909,166 225,"1 148,4"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1452,161 317,"900,1"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1810,161 894,"1 118,0"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4191,172 517,"2 429,3"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,952,115 485,"824,3"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2371,139 162,"1 703,8"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3761,208 717,"1 802,0"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2541,189 095,"1 343,8"
6,06 - Montréal,,Total,27628,2 065 657,"1 337,5"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,20 552,n.d.
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,25,38 891,"64,3"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,537,264 517,"203,0"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,54,56 920,"94,9"
7,07 - Outaouais,,Total,624,401 032,"155,6"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,11,20 528,"53,6"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,131,43 180,"303,4"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,7,43 551,"16,1"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,17,15 628,"108,8"
8,08 - Abitibi-Témiscamingue,,Total,172,147 616,"116,5"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,46,27 344,"168,2"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,7,6 428,"108,9"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,124,90 033,"137,7"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,135,32 176,"419,6"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,10 582,n.d.
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,18 753,"69,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,32,15 881,"201,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,12 606,"71,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,193,89 998,"214,4"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,406,258 118,"157,3"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,45,42 500,"105,9"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,53,73 173,"72,4"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,7,16 426,"42,6"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,11,40 092,"27,4"
12,12 - Chaudière-Appalaches,,Total,522,430 309,"121,3"
13,13 - Laval,1311,1311 - RLS de Laval,5871,442 745,"1 326,0"
13,13 - Laval,,Total,5871,442 745,"1 326,0"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1500,223 099,"672,3"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2720,296 993,"915,8"
14,14 - Lanaudière,,Total,4298,520 092,"826,4"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,24,35 580,"67,5"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,171,48 016,"356,1"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,244,44 362,"550,0"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,100,33 422,"299,2"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,695,124 641,"557,6"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1107,177 517,"623,6"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1260,163 430,"771,0"
15,15 - Laurentides,,Total,3609,626 968,"575,6"
16,16 - Montérégie,1611,1611 - RLS de Champlain,1855,225 442,"822,8"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,679,195 297,"347,7"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2061,262 440,"785,3"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,906,220 957,"410,0"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,50,51 371,"97,3"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,747,160 002,"466,9"
16,16 - Montérégie,1632,1632 - RLS du Suroît,625,60 523,"1 032,7"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,101,24 346,"414,9"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1144,232 373,"492,3"
16,16 - Montérégie,,Total,8171,1 432 751,"570,3"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,10,18 385,"54,4"
18,18 - Terres-Cries-de-la-Baie-James,,Total,10,18 385,"54,4"
