date,RSS01_DOSE_Numero1_cumu,RSS02_DOSE_Numero1_cumu,RSS03_DOSE_Numero1_cumu,RSS04_DOSE_Numero1_cumu,RSS05_DOSE_Numero1_cumu,RSS06_DOSE_Numero1_cumu,RSS07_DOSE_Numero1_cumu,RSS08_DOSE_Numero1_cumu,RSS09_DOSE_Numero1_cumu,RSS10_DOSE_Numero1_cumu,RSS11_DOSE_Numero1_cumu,RSS12_DOSE_Numero1_cumu,RSS13_DOSE_Numero1_cumu,RSS14_DOSE_Numero1_cumu,RSS15_DOSE_Numero1_cumu,RSS16_DOSE_Numero1_cumu,RSS17_DOSE_Numero1_cumu,RSS18_DOSE_Numero1_cumu,RSSND_DOSE_Numero1_cumu,RSS99_DOSE_Numero1_cumu,RSSHQ_DOSE_Numero1_cumu,RSSAL_DOSE_Numero1_cumu,RSS01_DOSE_Numero1_jour,RSS02_DOSE_Numero1_jour,RSS03_DOSE_Numero1_jour,RSS04_DOSE_Numero1_jour,RSS05_DOSE_Numero1_jour,RSS06_DOSE_Numero1_jour,RSS07_DOSE_Numero1_jour,RSS08_DOSE_Numero1_jour,RSS09_DOSE_Numero1_jour,RSS10_DOSE_Numero1_jour,RSS11_DOSE_Numero1_jour,RSS12_DOSE_Numero1_jour,RSS13_DOSE_Numero1_jour,RSS14_DOSE_Numero1_jour,RSS15_DOSE_Numero1_jour,RSS16_DOSE_Numero1_jour,RSS17_DOSE_Numero1_jour,RSS18_DOSE_Numero1_jour,RSSND_DOSE_Numero1_jour,RSS99_DOSE_Numero1_jour,RSSHQ_DOSE_Numero1_jour,RSSAL_DOSE_Numero1_jour,RSS01_DOSE_Numero2_cumu,RSS02_DOSE_Numero2_cumu,RSS03_DOSE_Numero2_cumu,RSS04_DOSE_Numero2_cumu,RSS05_DOSE_Numero2_cumu,RSS06_DOSE_Numero2_cumu,RSS07_DOSE_Numero2_cumu,RSS08_DOSE_Numero2_cumu,RSS09_DOSE_Numero2_cumu,RSS10_DOSE_Numero2_cumu,RSS11_DOSE_Numero2_cumu,RSS12_DOSE_Numero2_cumu,RSS13_DOSE_Numero2_cumu,RSS14_DOSE_Numero2_cumu,RSS15_DOSE_Numero2_cumu,RSS16_DOSE_Numero2_cumu,RSS17_DOSE_Numero2_cumu,RSS18_DOSE_Numero2_cumu,RSSND_DOSE_Numero2_cumu,RSS99_DOSE_Numero2_cumu,RSSHQ_DOSE_Numero2_cumu,RSSAL_DOSE_Numero2_cumu,RSS01_DOSE_Numero2_jour,RSS02_DOSE_Numero2_jour,RSS03_DOSE_Numero2_jour,RSS04_DOSE_Numero2_jour,RSS05_DOSE_Numero2_jour,RSS06_DOSE_Numero2_jour,RSS07_DOSE_Numero2_jour,RSS08_DOSE_Numero2_jour,RSS09_DOSE_Numero2_jour,RSS10_DOSE_Numero2_jour,RSS11_DOSE_Numero2_jour,RSS12_DOSE_Numero2_jour,RSS13_DOSE_Numero2_jour,RSS14_DOSE_Numero2_jour,RSS15_DOSE_Numero2_jour,RSS16_DOSE_Numero2_jour,RSS17_DOSE_Numero2_jour,RSS18_DOSE_Numero2_jour,RSSND_DOSE_Numero2_jour,RSS99_DOSE_Numero2_jour,RSSHQ_DOSE_Numero2_jour,RSSAL_DOSE_Numero2_jour,RSS01_DOSES_Total_cumu,RSS02_DOSES_Total_cumu,RSS03_DOSES_Total_cumu,RSS04_DOSES_Total_cumu,RSS05_DOSES_Total_cumu,RSS06_DOSES_Total_cumu,RSS07_DOSES_Total_cumu,RSS08_DOSES_Total_cumu,RSS09_DOSES_Total_cumu,RSS10_DOSES_Total_cumu,RSS11_DOSES_Total_cumu,RSS12_DOSES_Total_cumu,RSS13_DOSES_Total_cumu,RSS14_DOSES_Total_cumu,RSS15_DOSES_Total_cumu,RSS16_DOSES_Total_cumu,RSS17_DOSES_Total_cumu,RSS18_DOSES_Total_cumu,RSSND_DOSES_Total_cumu,RSS99_DOSES_Total_cumu,RSSHQ_DOSES_Total_cumu,RSSAL_DOSES_Total_cumu,RSS01_DOSES_Total_jour,RSS02_DOSES_Total_jour,RSS03_DOSES_Total_jour,RSS04_DOSES_Total_jour,RSS05_DOSES_Total_jour,RSS06_DOSES_Total_jour,RSS07_DOSES_Total_jour,RSS08_DOSES_Total_jour,RSS09_DOSES_Total_jour,RSS10_DOSES_Total_jour,RSS11_DOSES_Total_jour,RSS12_DOSES_Total_jour,RSS13_DOSES_Total_jour,RSS14_DOSES_Total_jour,RSS15_DOSES_Total_jour,RSS16_DOSES_Total_jour,RSS17_DOSES_Total_jour,RSS18_DOSES_Total_jour,RSSND_DOSES_Total_jour,RSS99_DOSES_Total_jour,RSSHQ_DOSES_Total_jour,RSSAL_DOSES_Total_jour
2020-12-14,0,0,145,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,291,0,0,145,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,291,0,0,145,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,291
2020-12-15,0,0,850,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,1,1460,0,0,705,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,1,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,1,1460,0,0,705,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,1,1169
2020-12-16,0,0,1409,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,1,2407,1,2408,0,0,559,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,1,948,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,1,2407,1,2408,0,0,559,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,1,948,0,948
2020-12-17,0,0,1938,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,6,3307,1,3308,0,0,529,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,5,900,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,6,3307,1,3308,0,0,529,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,5,900,0,900
2020-12-18,0,0,2472,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,6,4026,2,4028,0,0,534,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,719,1,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,6,4026,2,4028,0,0,534,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,719,1,720
2020-12-19,0,0,3076,0,0,1664,0,0,0,0,0,0,0,0,0,0,0,0,6,4746,2,4748,0,0,604,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,0,0,1664,0,0,0,0,0,0,0,0,0,0,0,0,6,4746,2,4748,0,0,604,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,720
2020-12-20,0,0,3076,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,6,4861,2,4863,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,6,4861,2,4863,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,115
2020-12-21,0,0,3076,0,0,2185,95,0,0,0,0,0,0,0,0,0,0,0,7,5363,2,5365,0,0,0,0,0,406,95,0,0,0,0,0,0,0,0,0,0,0,1,502,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076,0,0,2185,95,0,0,0,0,0,0,0,0,0,0,0,7,5363,2,5365,0,0,0,0,0,406,95,0,0,0,0,0,0,0,0,0,0,0,1,502,0,502
2020-12-22,0,194,3250,400,0,2915,440,0,2,0,0,0,0,131,41,0,0,0,8,7381,3,7384,0,194,174,400,0,730,345,0,2,0,0,0,0,131,41,0,0,0,1,2018,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,3250,400,0,2915,440,0,2,0,0,0,0,131,41,0,0,0,8,7381,3,7384,0,194,174,400,0,730,345,0,2,0,0,0,0,131,41,0,0,0,1,2018,1,2019
2020-12-23,0,528,3290,768,103,3663,674,0,161,0,120,34,174,412,160,1044,0,0,8,11139,3,11142,0,334,40,368,103,748,234,0,159,0,120,34,174,281,119,1044,0,0,0,3758,0,3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,3290,768,103,3663,674,0,161,0,120,34,174,412,160,1044,0,0,8,11139,3,11142,0,334,40,368,103,748,234,0,159,0,120,34,174,281,119,1044,0,0,0,3758,0,3758
