Date;Nouveaux cas;Cumulatif;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;0;5;
2020-03-10;3;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;36;81;
2020-03-20;49;130;
2020-03-21;92;222;
2020-03-22;89;311;
2020-03-23;134;445;
2020-03-24;144;589;
2020-03-25;183;772;
2020-03-26;186;958;
2020-03-27;247;1205;
2020-03-28;198;1403;
2020-03-29;261;1664;
2020-03-30;270;1934;
2020-03-31;326;2260;
2020-04-01;311;2571;
2020-04-02;409;2980;
2020-04-03;350;3330;
2020-04-04;341;3671;
2020-04-05;261;3932;
2020-04-06;458;4390;
2020-04-07;423;4813;
2020-04-08;376;5189;
2020-04-09;352;5541;
2020-04-10;307;5848;
2020-04-11;262;6110;
2020-04-12;331;6441;
2020-04-13;544;6985;
2020-04-14;470;7455;
2020-04-15;621;8076;
2020-04-16;497;8573;
2020-04-17;575;9148;
2020-04-18;330;9478;
2020-04-19;434;9912;
2020-04-20;485;10397;
2020-04-21;460;10857;
2020-04-22;538;11395;
2020-04-23;528;11923;
2020-04-24;498;12421;
2020-04-25;311;12732;
2020-04-26;283;13015;
2020-04-27;463;13478;
2020-04-28;476;13954;
2020-04-29;517;14471;
2020-04-30;595;15066;
2020-05-01;621;15687;
2020-05-02;524;16211;
2020-05-03;345;16556;
2020-05-04;417;16973;
2020-05-05;473;17446;
2020-05-06;569;18015;
2020-05-07;430;18445;
2020-05-08;432;18877;
2020-05-09;312;19189;
2020-05-10;302;19491;
2020-05-11;367;19858;
2020-05-12;426;20284;
2020-05-13;392;20676;
2020-05-14;355;21031;
2020-05-15;351;21382;
2020-05-16;270;21652;
2020-05-17;342;21994;
2020-05-18;328;22322;
2020-05-19;317;22639;
2020-05-20;407;23046;
2020-05-21;380;23426;
2020-05-22;251;23677;
2020-05-23;215;23892;
2020-05-24;211;24103;
2020-05-25;204;24307;
2020-05-26;239;24546;
2020-05-27;248;24794;
2020-05-28;186;24980;
2020-05-29;197;25177;
2020-05-30;210;25387;
2020-05-31;134;25521;
2020-06-01;156;25677;
2020-06-02;98;25775;
2020-06-03;117;25892;
2020-06-04;122;26014;
2020-06-05;108;26122;
2020-06-06;101;26223;
2020-06-07;75;26298;
2020-06-08;49;26347;
2020-06-09;73;26420;
2020-06-10;71;26491;
2020-06-11;61;26552;
2020-06-12;72;26624;
2020-06-13;65;26689;
2020-06-14;30;26719;
2020-06-15;38;26757;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
