No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.90,713,2839.39,285,1135.41,156,621.49,1057,4217.79,406,1622.70,365,1458.83,516,2065.78
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.22,2305,4370.29,463,874.08,44,83.07,2360,4445.41,1125,2114.38,742,1394.55,1232,2310.84
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.44,1997,2925.69,354,516.85,136,198.56,3327,4849.71,1412,2054.95,972,1414.60,1738,2525.41
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.79,2620,3300.29,344,434.00,139,175.37,3739,4691.75,1724,2151.69,1239,1546.37,1982,2461.62
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.50,672,2958.85,108,473.37,16,70.13,974,4261.00,384,1676.71,306,1336.13,437,1904.93
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.55,8892,3181.99,1871,668.34,545,194.68,13250,4721.01,5820,2068.44,4326,1537.47,6622,2348.05
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.25,1377,2470.78,674,1195.93,120,212.92,2715,4788.36,674,1181.59,629,1102.70,1263,2201.46
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.31,9694,3020.75,3761,1174.30,1349,421.20,16541,5132.23,6043,1863.30,5000,1541.70,7540,2311.72
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,182.96,9455,2672.31,5103,1434.86,1677,471.54,18644,5219.52,6218,1733.24,4729,1318.18,7436,2064.16
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1827.03,135,469.55,69,239.99,1483,5139.31,669,2310.00,463,1598.70,807,2776.77
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.13,21069,2775.78,9693,1273.67,3231,424.56,39595,5175.48,13728,1785.01,10937,1422.11,17168,2221.41
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2560.54,31,204.90,70,462.69,1262,8334.98,487,3213.89,164,1082.29,288,1898.98
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.48,308,1184.80,98,373.66,94,358.41,1133,4304.14,380,1438.30,270,1021.95,559,2108.20
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.01,350,1513.19,78,334.29,191,818.58,1095,4683.89,249,1063.06,294,1255.18,550,2343.32
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.64,1043,1581.69,172,258.22,280,420.36,3219,4802.47,1468,2176.52,1055,1564.19,1769,2606.97
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,844,581.91,2639,1812.96,361,247.11,1079,738.61,8806,5993.55,3071,2078.33,2292,1551.13,4064,2735.59
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,48,106.88,754,1662.48,161,351.54,389,849.36,2799,6076.33,632,1364.16,400,863.39,994,2133.57
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,270,249.38,3164,2898.72,673,611.62,558,507.11,4809,4343.78,1735,1557.66,1115,1001.03,2127,1898.45
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,32,32.50,2306,2327.93,651,653.34,1171,1175.21,7333,7326.88,1601,1592.64,1399,1391.69,1960,1941.56
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),1839,349.78,11031,2084.04,2233,419.06,3857,723.83,30569,5706.87,9647,1791.64,7009,1301.71,12345,2281.27
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,100,175.65,844,1457.03,219,371.68,283,480.30,1611,2707.15,742,1234.69,639,1063.30,1089,1795.00
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,169,158.02,2712,2508.63,420,384.39,855,782.51,3648,3308.47,1334,1198.98,1290,1159.44,1855,1652.82
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,83,156.38,633,1176.15,210,384.87,664,1216.92,2349,4270.37,810,1460.78,580,1045.99,831,1487.38
05,05 - Estrie,0514,0514 - RLS de Coaticook,12,63.77,402,2118.63,189,987.93,168,878.16,793,4126.02,242,1253.37,198,1025.48,354,1825.12
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,262,153.13,3634,2113.99,974,563.94,1999,1157.41,9096,5218.72,3324,1889.95,3224,1833.09,4060,2288.94
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,69,217.23,562,1758.94,172,535.19,292,908.58,1322,4088.77,435,1337.35,433,1331.20,598,1827.96
05,05 - Estrie,0517,0517 - RLS d'Asbestos,44,304.98,541,3727.31,62,424.60,482,3300.92,678,4628.78,222,1510.92,152,1034.51,265,1798.20
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,29,126.44,356,1538.59,126,539.85,408,1748.07,931,3967.10,402,1703.68,315,1334.97,400,1686.16
05,05 - Estrie,0519,0519 - RLS du Granit,11,50.97,809,3722.36,745,3404.00,556,2540.44,1625,7398.47,206,934.58,229,1038.93,492,2224.73
05,05 - Estrie,,Total (incluant inconnus),790,158.77,10495,2090.36,3120,615.92,5711,1127.41,22077,4322.84,7724,1500.24,7071,1373.41,9952,1918.16
06,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1457,643.32,7253,3208.04,2223,984.95,2066,915.39,11744,5194.41,2687,1186.41,2356,1040.26,3493,1540.88
06,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2009,1343.77,5629,3789.70,1735,1175.77,1403,950.78,9030,6112.73,1878,1269.90,1777,1201.60,2760,1865.98
06,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1310,995.19,4685,3605.04,1198,933.89,1529,1191.91,6866,5337.25,1812,1404.60,1523,1180.57,2040,1579.40
06,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,2626,1066.57,10624,4401.30,2744,1159.97,2476,1046.68,13629,5725.81,3015,1258.88,2757,1151.16,3170,1318.86
06,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1642,978.61,4231,2556.98,1227,752.08,1560,956.19,9312,5693.67,2170,1323.56,1856,1132.04,2549,1552.81
06,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1396,865.77,4382,2802.44,1198,790.84,1434,946.63,9926,6478.33,2174,1403.01,1718,1108.72,2238,1433.32
06,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1697,1044.35,8568,5315.96,2849,1782.23,1996,1248.62,8493,5299.12,1750,1089.07,1658,1031.81,2265,1408.32
06,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,3848,2224.56,9026,5264.69,1988,1170.03,2359,1388.38,10843,6382.91,1897,1116.93,2172,1278.84,3279,1932.44
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,909,785.12,3568,3139.93,835,748.97,1085,973.21,8313,7440.39,1526,1362.88,1266,1130.67,1608,1434.62
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2102,1511.44,8800,6377.55,2184,1595.38,2615,1910.22,8450,6169.68,1231,898.38,1667,1216.57,2349,1715.35
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3326,1585.02,10086,4823.52,2372,1138.40,3207,1539.15,13290,6370.88,2489,1191.77,2817,1348.82,4435,2122.16
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2318,1222.48,6333,3365.96,1766,945.99,2093,1121.16,11665,6249.65,2288,1226.03,2468,1322.48,4088,2192.03
06,06 - Montréal,,Total (incluant inconnus),25422,1226.55,84096,4103.69,22438,1107.55,23976,1183.46,123048,6057.47,25252,1239.81,24460,1200.92,35009,1716.61
07,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,n.d.,80,395.22,283,1389.71,61,299.55,662,3241.21,149,727.36,127,619.97,326,1587.15
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,n.d.,409,1958.95,102,484.01,41,194.55,897,4239.23,215,1012.00,229,1077.90,363,1702.07
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,14,35.71,315,793.71,317,789.22,129,321.17,1967,4861.17,353,866.02,241,591.25,338,823.70
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,315,119.49,3935,1493.39,3818,1449.71,1569,595.76,14035,5298.55,2499,938.05,2097,787.15,2749,1026.66
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,22,38.17,685,1171.52,575,969.68,240,404.74,3244,5428.20,697,1157.31,564,936.47,950,1565.78
07,07 - Outaouais,,Total (incluant inconnus),361,89.96,5457,1354.86,5120,1266.50,2052,507.59,20908,5140.97,3937,962.30,3272,799.76,4751,1155.02
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,7,34.05,91,442.43,5,24.30,29,140.91,692,3361.75,423,2054.50,284,1379.38,443,2151.48
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,n.d.,n.d.,257,1033.00,19,76.17,42,168.38,1023,4097.90,386,1544.93,424,1697.02,397,1587.65
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,94,218.01,169,392.25,122,283.37,61,141.69,1412,3274.24,809,1872.86,514,1189.92,755,1745.20
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,6,13.73,196,448.11,93,212.50,100,228.49,2071,4726.31,735,1675.33,599,1365.34,714,1625.59
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,8,50.77,35,221.11,29,182.38,199,1251.49,732,4601.31,311,1954.01,239,1501.63,370,2324.12
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),122,82.45,750,506.41,270,182.13,432,291.42,5942,4004.04,2665,1793.91,2061,1387.34,2679,1801.61
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,0.00,11,340.40,n.d.,n.d.,n.d.,n.d.,217,6755.92,86,2672.47,67,2082.04,54,1675.46
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,41.77,129,317.11,178,437.79,210,516.49,1921,4730.48,1125,2773.74,863,2127.76,1263,3117.94
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,41,555.56,40,541.82,6,81.25,n.d.,n.d.,313,4242.34,125,1695.84,119,1614.43,166,2254.06
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,36,130.61,54,195.93,20,72.57,37,134.26,1803,6542.09,603,2187.87,623,2260.44,873,3167.58
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,n.d.,n.d.,13,201.61,8,123.88,n.d.,n.d.,354,5482.42,355,5498.76,276,4275.09,218,3376.70
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,0.00,6,129.62,n.d.,n.d.,n.d.,n.d.,364,7873.68,402,8714.50,276,5983.09,141,3063.55
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0.00,0,0.00,0,0.00,n.d.,n.d.,n.d.,n.d.,5,773.99,n.d.,n.d.,5,772.80
09,09 - Côte-Nord,,Total (incluant inconnus),103,113.68,258,284.85,225,248.50,265,292.68,5081,5615.39,2727,3015.79,2268,2508.18,2816,3116.39
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,n.d.,n.d.,86,639.45,20,149.05,26,193.77,764,5714.07,341,2559.48,341,2559.48,354,2666.06
10,10 - Nord-du-Québec,,Total (incluant inconnus),14,103.86,96,713.81,20,149.05,29,216.13,801,5990.80,342,2566.99,343,2574.50,359,2703.72
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,123,379.28,631,1930.99,142,431.28,151,458.62,1087,3289.65,890,2683.88,831,2505.96,984,2957.44
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,n.d.,30,278.50,103,949.13,10,92.15,532,4899.61,365,3359.72,315,2899.48,482,4434.43
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,68.86,434,2281.03,50,260.77,14,73.02,474,2462.91,637,3297.61,467,2417.56,520,2682.69
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,30,188.21,398,2487.89,77,479.60,97,604.17,815,5073.93,749,4660.86,438,2725.58,498,3097.40
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,70.42,33,255.36,16,122.46,10,76.53,471,3584.75,539,4079.62,276,2089.01,319,2401.75
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),179,197.31,1532,1676.21,391,424.67,287,311.71,3393,3674.15,3190,3444.03,2341,2527.42,2809,3024.17
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,306,117.81,5870,2242.31,3664,1388.76,2052,777.77,15411,5806.41,5011,1876.81,3561,1333.73,5217,1942.84
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,32,74.35,1262,2918.39,467,1074.82,903,2078.30,4213,9660.07,1050,2398.57,697,1592.20,1116,2540.17
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,32,43.68,3165,4317.02,2490,3393.71,2112,2878.52,6264,8515.21,1458,1976.84,988,1339.59,1587,2146.33
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,48.25,422,2525.21,328,1947.40,407,2416.43,1214,7175.36,294,1729.92,195,1147.40,322,1886.57
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,12,29.82,541,1338.35,509,1253.36,66,162.52,1973,4855.06,787,1935.33,558,1372.19,864,2123.35
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),393,90.79,11349,2606.11,7480,1707.35,5567,1270.70,29629,6731.64,8650,1956.19,6032,1364.13,9202,2071.79
13,13 - Laval,1311,1311 - RLS de Laval,4815,1087.41,19903,4492.84,5298,1195.42,7120,1606.53,27812,6245.26,5323,1189.58,5467,1221.77,7881,1753.58
13,13 - Laval,,Total (incluant inconnus),4898,1106.15,19918,4496.22,5304,1196.77,7126,1607.88,27893,6263.45,5333,1191.82,5474,1223.33,7977,1774.94
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1224,542.12,6539,2853.09,806,346.51,1645,707.22,12310,5237.22,3006,1265.71,2741,1154.13,4592,1914.39
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2174,727.89,9957,3311.82,2074,685.33,3360,1110.27,22002,7225.92,4195,1369.37,3552,1159.47,5476,1777.08
14,14 - Lanaudière,,Total (incluant inconnus),3472,662.02,16540,3121.69,2882,538.46,5011,936.23,34371,6370.48,7206,1325.02,6295,1157.51,10104,1843.75
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,21,58.56,766,2109.90,127,345.59,263,715.67,2189,5927.03,707,1904.84,770,2074.58,1142,3061.91
15,15 - Laurentides,1512,1512 - RLS des Laurentides,141,288.28,700,1411.36,208,413.65,613,1219.08,3160,6221.64,737,1436.73,612,1193.05,1137,2195.62
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,179,394.26,635,1371.77,147,311.58,564,1195.45,2394,5013.56,628,1299.62,630,1303.75,955,1954.16
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,78,230.80,417,1213.92,185,529.98,278,796.40,1828,5187.73,374,1051.54,371,1043.10,850,2368.38
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,551,440.90,2765,2190.63,688,539.75,1095,859.05,7679,5973.76,1749,1349.29,1606,1238.97,2401,1837.37
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,809,453.72,3688,2038.04,1113,606.16,2292,1248.26,12952,6971.78,2857,1520.17,2686,1429.18,4128,2172.16
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1004,609.86,4056,2446.27,1136,680.33,1463,876.16,12187,7250.91,2541,1502.01,2216,1309.90,2925,1718.01
15,15 - Laurentides,,Total (incluant inconnus),2848,450.72,13181,2061.06,3630,560.90,6611,1021.51,42897,6568.12,9656,1465.16,8972,1361.38,13684,2058.32
16,16 - Montérégie,1611,1611 - RLS de Champlain,1577,696.07,5571,2454.04,1618,711.31,2125,934.19,10042,4384.23,2594,1124.76,2453,1063.62,4328,1864.82
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,621,317.11,3925,1993.59,985,497.65,1523,769.46,9340,4689.84,2965,1479.70,2262,1128.87,4608,2285.95
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,1743,662.25,6517,2477.10,1730,657.83,1809,687.87,12181,4608.79,3233,1217.18,2806,1056.42,4834,1811.42
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,785,353.15,5947,2665.65,1180,527.00,1096,489.48,9656,4290.57,2958,1307.74,2520,1114.10,4241,1865.84
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,42,80.98,1097,2097.49,167,316.68,497,942.45,2561,4832.12,898,1685.94,474,889.91,1344,2511.00
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,546,338.32,3100,1903.69,1097,667.69,991,603.18,7907,4773.23,1693,1013.72,1474,882.59,2657,1578.79
16,16 - Montérégie,1632,1632 - RLS du Suroît,476,780.99,1217,1967.62,328,522.67,520,828.62,3694,5832.52,1010,1580.25,910,1423.79,1706,2645.27
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,88,358.17,478,1918.56,123,486.94,106,419.64,946,3715.71,210,818.43,239,931.45,552,2134.94
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,870,373.51,5358,2284.12,1635,692.13,1650,698.48,12233,5136.95,3499,1457.63,2973,1238.50,4452,1840.62
16,16 - Montérégie,,Total (incluant inconnus),6804,472.64,33324,2303.66,8889,611.53,10366,713.14,68988,4715.07,19171,1301.76,16207,1100.49,28924,1951.86
17,17 - Nunavik,1701,1701 - Nunavik,n.d.,n.d.,49,338.78,19,130.35,887,6085.35,1739,11845.24,377,2549.71,234,1582.58,302,2028.14
17,17 - Nunavik,,Total (incluant inconnus),n.d.,n.d.,54,373.35,20,137.21,890,6105.93,1763,12008.72,379,2563.24,234,1582.58,304,2041.57
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,5,27.24,100,540.00,7,37.48,27,144.55,1166,6194.38,894,4713.20,525,2767.82,364,1904.66
18,18 - Terres-Cries-de-la-Baie-James,,Total (incluant inconnus),5,27.24,100,540.00,7,37.48,33,176.67,1180,6268.76,899,4739.56,526,2773.09,368,1925.59

