No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,995,4776.19,502,2410.91,396,1901.83
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2159,6149.07,1100,3124.38,715,2030.85
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,493,2573.34,359,1873.89
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,250,2930.83,197,2309.50
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,574,994.83,222,384.84,117,202.82,3203,5541.95,1751,3023.97,1613,2785.65
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,413,2305.07,582,3248.31
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,460,2229.98,498,2414.19
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,453,2589.02,464,2651.88
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1585,801.41,2357,1193.03,640,323.94,10939,5535.54,5424,2744.06,4838,2447.60
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1532,4948.32,720,2327.54,789,2550.59
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,406,1628.43,427,1712.66
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,44,83.81,2360,4493.44,1124,2139.24,1030,1960.34
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,354,521.64,136,200.40,3327,4902.70,1413,2082.29,1328,1957.03
