Date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cas_cum_tot_n,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,cas_quo_tot_n,act_cum_tot_n,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,ret_cum_tot_n,ret_quo_tot_n,dec_cum_tot_n,dec_cum_tot_t,dec_quo_tot_t,dec_cum_chs_n,dec_cum_rpa_n,dec_cum_dom_n,dec_cum_aut_n,dec_quo_tot_n,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_cum_tes_n,psi_cum_pos_n,psi_cum_inf_n,psi_cum_adm_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t
Date inconnue,Région,RSS01,01 - Bas-Saint-Laurent,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,13,0,0.00,4.07,0,0,0,0,8,4,2,2,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,144,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS03,03 - Capitale-Nationale,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,220,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS04,04 - Mauricie et Centre-du-Québec,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,48,0,0.00,5.15,0,0,0,0,27,5,4,15,3,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS05,05 - Estrie,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,61,0,0.00,0.60,0,0,0,0,3,0,3,0,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS06,06 - Montréal,0,0,0,0.00,0.10,2,0,2,0,0.00,,,0,676,0,0.00,0.96,0,0,0,0,20,3,4,11,2,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS07,07 - Outaouais,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,159,0,0.00,6.18,0,0,0,0,25,3,13,9,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,29,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS09,09 - Côte-Nord,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,16,0,0.00,1.12,0,0,0,0,1,0,0,1,0,,,0,0,0,0.00,0.00,0,0,0,,.,.,.,0,0,0,0,0,0,0,.
Date inconnue,Région,RSS10,10 - Nord-du-Québec,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,2,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,.
