Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,4659,994,0,0,26,98,124,3541,3072,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,5202,997,0,0,68,177,245,3960,3202,1242,758,212,1984,216,2000,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,23319,6280,5,11,508,714,1268,15801,12931,7518,2870,1151,9966,1075,10388,46,174,32,206,0,0,0,206
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,16355,1652,1,2,258,822,1080,13620,13076,2735,544,419,4285,375,3279,0,11,15,26,0,0,0,26
Région,RSS05,05 - Estrie,Total,18227,2033,0,11,477,811,1289,14895,13925,3332,970,622,3981,524,4302,1,2,15,17,0,0,0,17
Région,RSS06,06 - Montréal,Total,114257,13820,126,285,4126,6571,11151,89329,77217,24928,12112,6890,30222,7069,37040,454,1250,450,1700,38,0,38,1738
Région,RSS07,07 - Outaouais,Total,12448,3839,17,33,173,1053,1226,7333,7049,5115,284,238,4822,778,5399,0,7,21,28,5,0,5,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,1928,103,187,0,29,40,69,1569,1465,359,104,29,256,244,463,0,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,869,163,0,0,11,54,65,641,600,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,101,22,1,0,5,11,17,62,43,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,1042,185,0,0,33,56,89,768,719,274,49,38,346,37,323,0,0,0,0,0,0,0,0
Région,RSS12,12 - Chaudière-Appalaches,Total,22157,3452,1,10,500,1547,2053,16647,15968,5510,679,874,8257,1111,6189,6,27,26,53,0,0,0,53
Région,RSS13,13 - Laval,Total,26997,3280,13,23,604,2926,3558,20151,18789,6846,1362,809,7239,963,8208,28,70,26,96,1,0,1,97
Région,RSS14,14 - Lanaudière,Total,20622,1820,38,11,366,1874,2345,16513,14700,4109,1813,734,5263,770,5922,105,80,32,112,1,0,1,113
Région,RSS15,15 - Laurentides,Total,25844,2558,33,59,436,2626,3261,20132,17367,5712,2765,1114,7483,1086,8477,199,433,65,498,1,0,1,499
Région,RSS16,16 - Montérégie,Total,49565,4291,26,155,1823,2552,4444,40718,37408,8847,3310,2485,10682,1877,12157,69,238,194,432,13,0,13,445
Région,RSS00,Inconnu,Total,1622,51,1,0,133,63,198,1374,1229,248,145,31,261,175,393,2,5,9,14,1,0,1,15
Région,RSS98,Hors-Québec,Total,1327,125,11,10,201,112,313,868,769,459,99,208,321,270,558,0,10,7,17,4,0,4,21
Région,RSS99,Ensemble du Québec,Total,346541,45665,460,610,9777,22107,32795,267922,239529,78619,28393,16095,97372,16829,107012,911,2310,905,3215,64,0,64,3279

