Date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cas_cum_tot_n,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,cas_quo_tot_n,act_cum_tot_n,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,ret_cum_tot_n,ret_quo_tot_n,dec_cum_tot_n,dec_cum_tot_t,dec_quo_tot_t,dec_cum_chs_n,dec_cum_rpa_n,dec_cum_dom_n,dec_cum_aut_n,dec_quo_tot_n,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,psi_cum_tes_n,psi_cum_pos_n,psi_cum_inf_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t
Date inconnue,Région,RSS01,Bas-Saint-Laurent,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,28,0,0.00,2.54,0,0,0,0,5,3,1,1,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS02,Saguenay–Lac-Saint-Jean,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,276,0,0.00,3.96,0,0,0,0,11,1,3,7,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS03,Capitale-Nationale,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,156,0,0.00,0.13,0,0,0,0,1,0,0,1,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS04,Mauricie et Centre-du-Québec,0,0,0,0.00,0.19,1,0,1,0,0.00,,,0,22,0,0.00,1.72,0,0,0,0,9,0,1,5,3,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS05,Estrie,0,0,0,0.00,0.20,1,0,1,0,0.00,,,0,19,0,0.00,0.61,0,0,0,0,3,2,1,0,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS06,Montréal,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,527,0,0.00,0.39,0,0,0,0,8,4,1,1,2,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS07,Outaouais,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,93,0,0.00,4.49,0,0,0,0,18,1,11,6,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS08,Abitibi-Témiscamingue,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,13,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS09,Côte-Nord,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,19,0,0.00,1.11,0,0,0,0,1,0,0,1,0,,,0,0,0,0.00,0.00,0,0,0,,0,0,0,0,0,0,         .  
Date inconnue,Région,RSS10,Nord-du-Québec,0,0,0,0.00,0.00,0,0,0,0,0.00,,,0,3,0,0.00,0.00,0,0,0,0,0,0,0,0,0,,,           .,           .,           .,         .  ,         .  ,           .,           .,           .,           .,0,0,0,0,0,0,         .  
